id,screen_name,name,followers_count,friends_count,statuses_count,favourites_count,location,lang
3300399945,kingsleyegbo2,Kingsley Egbo,59,107,121,144,Hong Kong,en
2307675307,TamaraMcCleary,Tamara McCleary,288744,178573,91478,117060,"Boulder, CO",en
15455123,alarno,Albert Arnó,17111,484,16460,9,Barcelona & virtual,es
956532894834548736,occhiphaura,occhiphaura,3799,4754,1300,25657,,de
797865938838286336,j4lib,Julia Beck,83,70,104,319,,de
986596674163404801,RRING_PROJECT,RRING Project,288,232,381,293,,en
293760684,litfests,Literary Festivals,19071,17475,14933,3021,Literary News. Authors. Books.,en
341000847,maliannejadi,Mohammad Aliannejadi,564,1147,1572,3985,"Lugano, Switzerland",en
27375578,hurrial,Ali Hürriyetoğlu,387,1100,1237,582,"Nijmegen, Nederland",en
201275909,sdowsi,Kharazmi,324,1189,1310,250,"Melbourne, Australia",en
1054280867512705025,mhsshhshhn,Mahsa Shahshahani,27,64,15,53,"Amsterdam, The Netherlands",en
1065937815022837760,dir_2019,DIR 2019 - Lightning talk Edition,94,274,3,4,"Amsterdam, The Netherlands",en
1927419517,Babak_Loni,Babak Loni,178,158,124,35,"Amsterdam, Nederland",nl
19486469,TheoHuibers,Theo Huibers,1059,541,4633,118,"Hilversum, The Netherlands",en
16868154,arjenpdevries,Arjen P. de Vries,1961,1282,9233,4702,"Utrecht, The Netherlands",en
1057394376492507136,Ali26731770,Ali,1,5,4,0,,en
251530485,sbouclin,Dr Suzanne Bouclin,1195,627,175,4846,Unceded Algonquin Territory,en
715204277388636160,COPYTRACK,COPYTRACK,626,386,854,1025,"Berlin, Deutschland",en
1039081371946438657,JewishHeritageN,JewishHeritageNetwork,36,70,25,3,"Amsterdam, The Netherlands",en
466471292,WGvanderWiel,Wilfred van der Wiel,250,196,440,24,,en
3390888539,MagellanGuewo,"Dr. Guewo Fokeng Magellan, PhD",13,72,4,1,"Centre, Cameroon",fr
971195134716112897,NicoleNugentPhD,Nicole Nugent PhD,1018,2160,4195,13304,"Providence, RI",en
1030507834084130817,meissam_rasouli,Meissam Rasouli,8,74,1,0,Tehran,en
1036690145007816706,Stan68926323,Stan,100,2863,3,1,Wisconsin ,en
16249938,WhatsTrending,What's Trending,807917,234431,56638,4545,whatstrending.com,en
890796691695124480,nutrishatives,Nutrishatives,1669,3573,954,1347,,en
2868352646,DrBhattaraiS,Suraj Bhattarai,161,887,226,648,"London, England",en
379970729,AmandineSmu,AmandineSmu,1294,3341,9510,6957,,fr
2180823582,SandraLpezVergs,Sandra López Vergès,408,206,645,1208,Panama,en
129823780,aftabnays,Aftab Ahmad PhD,775,1203,6516,9149,"Lahore, Pakistan",en
240960771,szapoun,Sofia Zapounidou,505,1016,1449,1498,Thessaloniki,en
737362108397060096,KulikovUNIATF,Dr Alexey Kulikov,31527,27043,1866,17053,"Geneva, Switzerland",en
108114289,davidhansson09,David Hansson,72,334,38,144,,en
977961982912581632,Maha_Nasr_Aly,Maha Nasr,60,92,73,66,,en
1020600517825843200,Fischer050,Fischer Raphael,300,4192,3,7,"Boston, MA",en
378653740,KateBrauman,Kate Brauman,1545,887,3093,5309,"Minneapolis, MN",en
3323738506,Nshemeshe,Connie Nshemereirwe,480,258,926,1472,"Kampala, Uganda",en
1000562694825631744,kgswc,Knowledge Graphs and Semantic Web Conference,185,671,23,256,Cuba,en
1017415815925133313,PHwales,Prince Harry,53,811,7,0,"London,England ",en
896102591498776578,Prof_DavidBader,David Bader,6886,3974,1611,973,"Atlanta, GA",en
45731216,marionleary,Marion Leary,3154,2130,11683,51337,Philadelphia,en
500114754,sarahdyoung3,(((sarah young))),387,3053,7829,13397,,en
2747199106,OWSD_SA,WomenInScienceSA,3180,1111,1755,1702,South Africa,en
2885532839,global_female,Global FemaleLeaders,2058,1909,3583,2202,Berlin,en-gb
987181247817543680,Abhijit01240702,Abhijit Majumder,262,175,167,273,"Powai, Mumbai",en
976193117497053184,R2OSpodcast,The Road to Open Science,518,209,256,244,"Utrecht, The Netherlands",en
3281181511,Wikicite,WikiCite,2889,2875,2700,2391,"Berkeley, CA",en
968874378069934080,dilipde81653256,dilip dey,371,4785,3182,6199,"Massachusetts, USA",en
1004762520,1asifm,Dr Asif Malik,392,686,8793,41,Dubai,en
2891063438,Abhadra7,Anindita Bhadra,237,103,1133,752,Kolkata,en
75021510,lindanordling,Linda Nordling,921,378,2702,1019,,en
1473018230,isil_aksan,Isil Kurnaz,227,393,3269,5359,,en
191762333,pneumaticpost,Anna Harris,422,659,566,330,"Maastricht, The Netherlands",en
3121777245,GeertLuteijn,Geert Luteijn,130,329,225,336,"Leipzig, Beograd and Amsterdam",nl
132167630,Abdalhadihadi,Dr. Abdalhadi Alijla,1344,3934,8598,2295,,en
591488734,MEveSylvestre,Marie-Eve Sylvestre,1147,1199,5483,4767,"Ottawa, Ontario",fr
3189542629,Clarissajaz,Dr. Clarissa Rios Rojas,1388,1181,4786,2978,"Geneva, Switzerland",en
781556214756933633,miliba01,Michael Saliba,728,1460,106,575,Switzerland,en
73246161,skomai,Shoji KOMAI,187,325,1842,821,,ja
68144413,jauelk,Jauad El Kharraz,1538,4999,12636,5279,Antibes,en
43263253,kshitizkhanal7,Kshitiz Khanal,1187,3204,5373,4525,"Kathmandu, Nepal",en
10771782,DougStanley14,Doug Stanley,428,564,2079,215,Southern California,en
902763174470017024,deineJobCoaches,perspect gmbh,18,21,68,10,"Hessen, Deutschland",de
936564992,Joinup_eu,Joinup.eu,1940,916,2816,1249,"Brussels, Belgium",en
13874392,armaninspace,Arman Anwar,10625,7684,8442,4979,"Manhattan, NY",en
3148322255,DIPF_en,DIPF_en,163,115,270,145,Frankfurt am Main/ Berlin,de
935516799529115649,Rebecca_ARN,Rebecca Renner,1201,2806,75,74,"Boca Raton, FL",en
3025857684,zylotweet,Zylotech,4619,3458,4811,1169,Cambridge,en
757378022387294208,MarTechExec,MarTechExec,45886,36463,15092,9528,"Austin, TX",en
3266526451,ericfrodgers,Eric Rodgers,88830,75760,16210,1126,"Toronto, Ontario",en
29171457,geoviews,Benjamin Hennig,6300,490,5902,1680,Iceland & the UK,en
2892662501,vogelwart79,Christian Hof,408,356,3586,3926,"Freising, Deutschland",de
700572882687004674,GhadaBassioni,Ghada Bassioni,254,142,1043,278,,en
126636431,followalibrary,Followalibrary,4016,3523,1712,87,Amsterdam,nl
2285891185,ThomasArrison,Thomas Arrison,428,1665,2412,2317,"Washington, DC",en
233514093,osmankorogluphd,"Osman Köroğlu, PhD.",765,4809,10556,19,World,en
1550009666,FalkBothe,Falk Bothe,8069,5466,2165,15177,"Wolfsburg, Germany",de
53560219,openscience,Open Science,58314,14794,44159,39999,LHR | SFO | SEA,en
918396006131171329,sami_bsoul,Books by Sami Bsoul,2283,4067,141,594,,en
390101459,ArBreatheWithUs,Ar: breathe science!,913,1753,5904,309,"Lisbon, Portugal",en
3762619635,SfPRocur,admin.,1088,2360,3136,931,"Lisbon, Portugal",en
701135490196574210,reneil1337,Rene Schmidt,4518,4433,1201,3088,"Paderborn, Deutschland",de
934291804735901696,karly_kehoe,Dr Karly Kehoe,502,385,605,2396,Halifax & Glasgow,en
937415352333545472,FresRobin,Frédéric Robin,30,278,2,23,,fr
4127095223,la___dea,Andrea Bossmann,1322,1294,562,540,"Berlin, Deutschland",de
4590233249,BartKolodziejc,Bart Kolodziejczyk,262,329,159,286,"Melbourne, Victoria",en
433270376,RobertaArielli,Roberta D'Alessandro,2381,1681,8114,3956,,en
938046329875341317,wemen1001,wemen1001,144,1956,514,429,東京 港区,ja
