id,screen_name,name,followers_count,friends_count,statuses_count,favourites_count,location,lang
2979189225,BonnKultimO,Bonn · KultimO,417,1008,1580,4533,Bonn-Dottendorf,de
888059068568530944,z00m94,Andreas Erbe,30,76,219,697,"Berlin, Deutschland",de
839116314513977344,SilkeClausing,Silke Clausing,75,122,851,644,"Hannover, Deutschland",de
326671935,KatjaEdelmann,Katja Edelmann,243,698,756,90,Speyer/Rhein-Neckar,de
3130597343,WLeitmeier,waltraud leitmeier,13,91,2,496,,de
779395321965211648,Maria_Whitelake,Maria Sad,8,68,9,60,"Berlin, Deutschland",de
138533684,JJWanderings,Jamie Johnston,47,151,190,512,Norway,en
19414036,cicilief,Cicilie Fagerlid,25,52,7,19,,en
370226472,voilaVDFG,voilaVDFG,770,237,1088,18,Mainz,de
138325459,FranceBlogInfo,Frankreich-Blog,1876,1919,6693,3351,Stuttgart,de
2591374813,AnSo161,Anett Sollmann,33,109,219,602,"Königswinter, Deutschland",de
4229176409,eddy_from_dd,Stefan E.,31,277,144,476,"Dresden, Sachsen",de
1719187176,H_SoilihiMze,Hassan Soilihi Mzé,225,96,3656,1225,,de
2819534831,M__Kleineberg,Michael Kleineberg,9,16,2,1,"Berlin, Deutschland",de
146969408,AnupamaKundoo,Anupama Kundoo,1627,258,1001,38,,en
48298968,peertrilcke,Peer Trilcke,830,1711,1414,5328,"Potsdam, Germany",en
64161189,wpk_daily,WPK,3419,545,6486,2835,"Bonn, Berlin, Hamburg, München",de
4849873473,dfg_public,DFG public,8448,875,2279,8550,,de
14186388,AllanADL,Allan Carrington,1927,2083,2502,81,Adelaide South Australia,en
1042062051886153728,ARLGScotland,Academic & Research Libraries Group Scotland,65,74,56,37,"Scotland, United Kingdom",en
1068019538,SLIC1991,SLIC,2750,1114,6100,4820,"Scotland, United Kingdom",en
75286820,natlibscot,National Library of Scotland,35413,2496,23479,34379,"Edinburgh, Scotland",en
1004195106,CILIPScotland,CILIPScotland,3060,1671,10592,3548,Glasgow,en
2317154083,NolteKathrin,Kathrin Nolte,310,437,340,437,Münster,de
905001561633558528,CarstenBrosda,Carsten Brosda,481,116,62,86,"Hamburg, Deutschland",de
44196397,elonmusk,Elon Musk,23593357,75,6085,1883,,en
107563743,profkeithdevlin,Keith Devlin,13644,422,66657,43123,"Palo Alto, CA, USA",en
607258639,KITBibliothek,KIT-Bibliothek,830,194,1612,82,Karlsruhe,de
3238537876,InfoSciUR,InfoSciUR,52,23,26,4,"Regensburg, Bayern",en-gb
1423622834,EskenSaskia,Saskia Esken,6557,1587,23821,23697,Berlin / Nordschwarzwald,de
9413142,NGC6544,Christian Spließ,1935,1231,147148,6981,Duisburg,en
57300808,hbunke,Hendrik Bunke,476,1064,5384,1148,Bremen,de
14824523,danilola,danilola,1180,1872,6313,151,"ÜT: 51.493315,14.048088",de
15861468,Netzpiloten,Netzpiloten,34226,18410,23117,5682,Berlin,de
15573348,sheilayoshikawa,Sheila Webber,1512,502,4440,3619,Sheffield & Second Life,en
600295031,NLPN_,NLPN🐝,2133,1992,13170,3190,"Manchester, UK",en
14089871,edrabinski,Emily Drabinski,9327,3157,70313,71102,Brooklyn,en
14093339,mchris4duke,Chris Bourg,11920,6730,65216,39379,Cambridge MA,en
1582018112,Glacialibrarian,Ray C.,640,810,4187,10547,Minnesnowta,en
1746891,ninaksimon,Nina Simon,22570,2520,4733,1234,Santa Cruz mountains,en
3401324758,PrinchApp,Princh,524,1076,747,2169,"Aarhus, Denmark",en
1035435958999674880,RatKuBi,Rat für Kulturelle Bildung e. V.,323,271,277,517,"Essen, Nordrhein-Westfalen",de
889595931959668741,lisonbarbara1,Barbara Lison,42,11,10,11,,de
34234036,Agnieszka_M,Agnes Mainka,418,348,668,557,Düsseldorf,de
47944691,t7l,Tobias Siebenlist,386,652,2624,3512,"Düsseldorf, Germany",de
287845568,NoSprung,Norbert Sprung,72,146,71,56,"Koblenz, Rheinland-Pfalz",de
892988679765012480,oa2020de,oa2020-de,523,166,1932,392,,de
775360595667320832,openlibbadge,Open Library Badge,192,263,65,64,,de
833324234411802631,leseDagmar,Dagmar Schnittker,204,480,667,2720,"Ibbenbüren, Deutschland",de
987248142683865088,BibliothekenNRW,Bibliotheken NRW,123,70,21,56,Nordrhein-Westfalen,de
1003967607517663234,bub_magazin,BuB: Forum Bibliothek und Information,376,28,186,47,Reutlin,de
978392545792266240,WM2019_FHP,WM2019,11,4,7,0,"Potsdam, Deutschland",de
237348098,unipotsdam,Universität Potsdam,5208,263,3869,355,Potsdam,de
32510225,TimHab,Tim Habermann,21,38,107,13,"Düsseldorf, Nordrhein-Westfalen",en
166866601,SBahnBerlin,S-Bahn Berlin,203035,7959,74107,4183,Berlin und Brandenburg,de
3404710059,InfoPlusConf,Information+,1572,88,709,1044,"Potsdam, Germany",en
330398843,CESSDA_Data,CESSDA ERIC,1770,1006,5493,1391,"Bergen, Norway",en-gb
2201039304,GESIS_Panel,GESIS_Panel,488,320,331,63,"Mannheim, Germany",de
3067971124,DatawomenHUB,Data HUBerlin,391,53,548,158,"Berlin, Deutschland",de
359219686,FAIRsharing_org,FAIRsharing,1183,293,1497,1102,"Oxford, UK",en
2398007413,re3data,re3data.org,963,332,156,309,,en
594602123,ratswd,RatSWD,496,617,502,408,"Berlin, Deutschland",de
781105098793582592,originalerhalt,KEK,974,909,565,1942,,de
194572794,bibnacht,Nacht der Bibliotheken NRW,577,1019,808,467,Nordrhein-Westfalen,de
816930550153957377,SenKultEu,Senatsverwaltung für Kultur und Europa,2439,620,2652,3055,"Berlin, Deutschland",de
1002908225753272321,frost_jes,Jessica Frost,78,135,17,31,,de
63075353,TSBBerlin,Technologiestiftung,2855,1114,2672,1252,Berlin,de
70928538,TecStiBer,Annette Kleffel,211,157,335,323,Berlin,de
1701689858,Rheinlandfranke,Meik Schild-Steiniger,509,1490,2897,8412,"Bonn, Deutschland",de
1018863431892512768,kulturBdigital,Digitale Entwicklung des Kulturbereichs Berlin,253,105,86,86,"Berlin, Deutschland",de
702786126,thstaecker,thomas stäcker,60,83,0,0,,de
151796516,sille61,Sylvia Schöne,127,228,2138,825,Dresden,de
1392101456,right2remix,Right 2 Remix,631,95,932,18,,en
195004291,leonidobusch,Leonhard Dobusch,4592,2148,5035,1148,"Innsbruck, Österreich",de
599481521,pollytix_gmbh,pollytix strategic research,2836,2046,2021,427,Berlin,de
893005905167560704,MaxRossmann,Max Roßmann,78,254,132,494,"Karlsruhe, Baden-Württemberg",de
808743352770457600,2000Revisited,2000 Revisited,37,82,99,81,"Karlsruhe, Baden-Württemberg",de
868006470,Leopoldina,Nationale Akademie der Wissenschaften Leopoldina,1593,341,152,29,Halle (Saale),de
3143175495,acatech_de,acatech,2088,517,1786,489,"München, Berlin, Brüssel",de
202990434,w_jahr,Wissenschaftsjahr,7989,1146,6980,6988,Deutschland,de
1947443383,WMKstudium,WMK,767,689,2166,503,Karlsruhe,de
965171525996380160,arbeitszukunft,Zurück in die Arbeitswelten der Zukunft,338,617,372,596,Halle (Saale)/Karlsruhe,de
35060913,johannesneuer,Johannes,710,980,1165,81,,en
16040029,srfkultur,SRF Kultur,15950,577,17239,3297,"Basel, Switzerland",de
230816400,Ohinte,Oliver Hinte,354,805,5700,441,Köln,en
1530470754,BiblioRemix,Biblio Remix,2442,170,1508,418,Rennes,fr
903465902,Mr_Kochka,Nicolas Beudon,2325,543,11130,19350,Bayeux,fr
999262586267893760,TRAFOProgramm,TRAFOProgramm,174,289,128,119,,de
3937437082,kultur_welten,KulturÖffnetWelten,1510,1604,1015,293,"Berlin, Deutschland",de
309037506,Kupoge,Kupoge,1594,754,2055,824,"Bonn, Deutschland",de
883581,sabram,Stephen Abram,9509,5817,11518,211,"Toronto, ON",en
749550996158816256,CoLIS2019,CoLIS2019,112,12,7,0,"Ljubljana, Slovenija",en-gb
532182076,Hapelr,Rolf Hapel,369,120,486,1092,,en
