id,screen_name,name,followers_count,friends_count,statuses_count,favourites_count,location,lang
1004283710924034048,MattCartoonist,Matt Cartoons,17927,0,134,0,"London, England",en
3177297684,Library_Matt,Matt Pascoe,425,946,1874,687,,en
399970973,me_netzpolitik,Logbuch:Netzpolitik,11509,20,983,104,"Berlin, Germany",en
961167509780037632,ino_vati,Ino Vati,32,147,2015,261,"Zürich, Schweiz",de
1001196904825413632,_ownw,Otherwise Network,832,6,28,8,,en
911068020,DanaeChe,Danaë Che P,56,170,101,113,Germany,en
1062641960010371072,famigezwitscher,famigezwitscher,21,33,11,99,Germany,en
1040663037328457729,PolitikUHH,Politikwissenschaft Universität Hamburg,256,24,23,13,"Hamburg, Deutschland",de
423417020,edusharing,edu-sharing,1733,3781,481,609,,de
2986115805,eBildungslabor,Nele Hirsch,1599,588,1083,833,Berlin,de
249108968,agschulbiblio,AG Schulbibliotheken,219,269,364,21,Berlin/Brandenburg,de
2222150945,SusannSolberg,Susann Solberg,69,273,219,1121,"Frankfurt am Main, Deutschland",de
791354736163381250,Sylvia34121325,Sylvia,20,59,30,66,,de
18256575,frawadi,Waldschmidt-Dietz,166,282,547,325,"Deutschland, Hessen, Giessen",de
23349869,bodop,Bodo Pohla,564,592,9883,11603,"Köln , Germany",de
2614076726,mczieluch,Manja Czieluch,29,82,147,49,,de
1006595050124533760,schildt_martina,Martina Schildt,11,42,14,34,"Göttingen, Germany",en
284967405,Informationbay,Heike Kamp,40,98,207,49,Bremen,de
796409396171509761,Feenstaubliebe,Feenstaubsammlerin,10,11,4,4,"Mitte, Bremen",de
795970028164235265,zbiwthkoeln,ZBIW.,268,472,182,258,"Köln, Deutschland",de
222411370,Knarfs11,Frank Thissen,284,184,828,1047,Karlsruhe,de
1056928637591715842,elisaalbaadani,Elisa Al-Baadani,12,39,13,36,"Leipzig, Deutschland",de
94649489,ninatoller,Nina Toller,2819,998,8660,15306,"NRW, Germany",en
833324234411802631,leseDagmar,Dagmar Schnittker,204,480,667,2720,"Ibbenbüren, Deutschland",de
988421969107398656,VerglPolwi,Armin Schäfer,444,93,211,121,"Münster, Deutschland",de
1580349043,WikiLibrary,TheWikipediaLibrary,4640,4997,7189,1626,Global,en
29589564,bannedlibrary,Banned Library,8287,1630,46168,5842,The Old Stacks,en
1008299985048305665,FaMI_Treffen,FaMI-Treffen Berlin,75,448,155,315,Berlin / Potsdam,de
45615218,trbrtc,Christiaan Triebert,27989,1022,15138,9135,#standplaatslaptop,en
827130210,bayer_julia,Julia Bayer,2436,1526,3766,4457,,en
2315512764,bellingcat,Bellingcat,123827,88,15030,1018,,en
979771198186893312,hauckundbauer,Hauck & Bauer,8874,339,998,2545,,de
1035435958999674880,RatKuBi,Rat für Kulturelle Bildung e. V.,323,271,277,517,"Essen, Nordrhein-Westfalen",de
14932303,astridmager,astridmager,869,377,2946,168,,en
14413098,zitate,Zitate 💭,14352,5,52433,19,deutscher sprachraum,de
879713840119861249,EthicsInBricks,Ethics in Bricks,9091,1107,1018,2705,Brick Lane,en
1588251702,anettselle,Anett Selle,10297,415,1941,1290,"Berlin, Germany",de
958723399,nettwerkerin,Prof. Dr. Katharina Zweig,2028,233,892,1415,,de
2915275059,UrsulaGeorgy,Ursula Georgy,218,196,1118,1840,Cologne,de
741014350723481603,fahrbibliothek,fahrbibliothek.de,178,112,873,1371,Hinter dem Lenkrad // behind the wheel,de
3317084775,dvpwkongress,dvpw,756,78,1285,91,"Osnabrück, Deutschland",de
1949399412,AdindaMeertins,Adinda Meertins,340,84,398,675,The Netherlands,nl
2214480700,bibliothekensh,Stadtbibliothekar,406,231,1917,291,Schaffhausen,de
2435490451,HSFDigital,Hochschulforum Digitalisierung,3131,363,2739,1541,"Berlin, Deutschland",de
46299743,SPARC_NA,SPARC,12197,1128,9234,5088,Washington D.C.,en
816241781331390464,bookbrainiac,SarahDThoma,213,275,3325,15944,,de
3064751866,sorcinaV,sorcinaV,41,79,233,578,"Frankfurt am Main, Deutschland",de
4829972883,KialoHQ,Kialo,36162,148,4681,4220,"Brooklyn, NY",en
2660613438,PhilosophyMttrs,Philosophy Matters,81049,233,16726,21753,,en
17557482,HenningLobin,Henning Lobin,2037,1420,757,437,,de
31678345,wagjuer,Juergen Wagner,4746,1608,158207,74701,Saarbrücken,de
404689468,flowcampus,FLOWCAMPUS,1414,999,10183,431,online,de
750039204135075841,bildungsradar,bildungsradar,810,235,3776,1059,Deutschland,de
1356087222,seni_bl,Ines Bieler,5721,2866,105529,103351,Germany,de
826350741430341633,vor400,vor400 (1618),442,111,6207,4563,Deutschland,de
999470034,archpng,Architecture,1313093,135,6007,623,DM for credit or removal request,en
1421172834,UWuttke,Ulrike Wuttke,780,676,4670,2044,"Berlin, Deutschland",de
1237328814,Letnapark,Letnapark,2903,2368,49831,77165,"Berlin & Prag, *25. April",de
727169217519345665,Rechercheuse,Recherchemeisterin,395,355,3678,6097,,de
572079091,EveryLibrary,EveryLibrary,9527,2330,9966,2837,Everywhere USA,en
829644731525300225,lbz_rlp,LBZ RLP,186,202,474,189,"Rheinland-Pfalz, Deutschland",de
2803260811,DuezenTekkal,Düzen Tekkal,8296,2264,2732,5297,"Berlin, Deutschland",de
1412275207,rethinkecon,Rethinking Economics,28516,929,5523,1982,,en
289601740,DeGruyterOA,De Gruyter Open Access,1342,1124,2163,392,,en
55554468,littlewisehen,littlewisehen,20794,20834,337905,118,"Für Arbeit und Vergnügen: meistens London, zum Nichtstun und Rasenmähen: Rottach-Egern",de
3121257209,B_M_Rohde,Bernd Martin Rohde,183,157,1124,5646,"Wolpertswende, Deutschland",de
3597315495,Report_Antisem,Recherche-& Informationsstelle Antisemitismus RIAS,8191,322,7702,3078,"Berlin, Deutschland",de
4256510188,Boettger_IEP,Katrin Böttger,660,768,929,1482,"Berlin, Deutschland",de
745268593831612416,Jopp_IEP,Mathias Jopp,468,487,161,2081,"Berlin, Deutschland",de
283033082,lofferg,Christopher Gohl,1081,925,2556,3948,"Tübingen, Germany",en
