id,screen_name,name,followers_count,friends_count,statuses_count,favourites_count,location,lang
2480951,ubuntu,Ubuntu,308472,901,7509,2169,"Desktop, Cloud, Server, Containers, and IoT",en
14706299,linuxfoundation,The Linux Foundation,303320,10718,25184,2734,"San Francisco, CA",en
2606773789,pascalhitzler,Pascal Hitzler,1314,1074,1340,1925,Wright State University,en
50426809,pcimiano,Philipp Cimiano,211,62,42,15,,de
956464925928493056,krr_vu,"KRR Group, VU Amsterdam",84,71,45,22,"Amsterdam, The Netherlands",en
1026754771087110144,iswc_conf,International Semantic Web Conference,167,61,26,1,,en
2149987471,SchlobachStefan,Stefan Schlobach,8,1,0,0,,de
337124515,mart1nkle1n,Martin Klein,695,856,2492,701,"Santa Fe, NM",en
3351746919,fischerdata,Barbara Fischer,1979,1149,18255,12264,"Berlin, Deutschland",de
773628252,fabian_kern,Fabian Kern,1422,453,17089,33778,München,de
201202669,markupforum,markupforum,459,370,390,141,Stuttgart,de
22066521,stillinsky,Juliane Stiller,417,661,711,538,"Berlin, Germany",de
122348347,fruehlingstag,Kai Weber,264,593,1760,2080,Stuttgart,en
923632474613321728,intelligenceHdm,Johannes Maucher,14,14,10,1,,de
1039081371946438657,JewishHeritageN,JewishHeritageNetwork,36,70,26,3,"Amsterdam, The Netherlands",en
1047754373047226369,ConfRefOrg,ConfRef Project,5,0,0,0,"Stuttgart, Germany",en
4361474962,katerbow,Matthias Katerbow,713,685,639,879,"Bonn, Nordrhein-Westfalen",de
2576448008,jeary_talking,Anett,102,409,158,412,"Dijon, France",en
2586364634,risse691,Thomas Risse,111,220,140,155,Frankfurt am Main,en
1003284131088883712,GreinerPetter,André Greiner-Petter,5,4,5,2,"Tokyo-to, Japan",en
455827771,BelaGipp,Bela Gipp,193,220,125,224,"Constance, Germany",en
3529991,kiru,Péter Király,828,1023,1684,2582,"Göttingen, Germany",en
122684077,smjwsk,Stefan Majewski,90,231,387,266,,de
2243453802,_florianmai,Florian Mai,125,197,636,886,Germany,en
214062910,sara_hlt,Sara Tonelli,956,402,7108,3339,Trento,en
99744347,robodasha,Dasha Herrmannova,317,540,902,449,"Oak Ridge, TN",en
205834148,angelosalatino,Angelo A. Salatino,440,348,26171,672,"Milton Keynes, UK",en
1200468920,MyriamCTraub,Myriam,128,362,243,226,"Frankfurt on the Main, Germany",de
3110662589,protestreich,Mandy,96,138,1460,882,,de
2592291038,acnwala,Alexander C. Nwala,239,88,1260,439,"Norfolk, VA",en
2173480850,BreitingerC,Corinna Breitinger,107,232,62,362,Germany,en
75550501,weiglemc,Michele Weigle,323,203,1708,328,"Chesapeake, Virginia",en
256118545,normeu,Norman Meuschke,27,32,21,24,"Constance, Germany",en
22826489,shawnmjones,Shawn M. Jones,381,614,5965,2140,"Santa Fe, NM",en
151901549,phonedude_mln,Michael L. Nelson,882,435,5890,1661,"Norfolk, VA",en
145310513,f_nanni,federico nanni,463,314,5710,2460,Heidelberg,it
14569422,Isabella83,Isabella83,517,134,216,79,Kiel,en
94581878,Dirk_Lew,Dirk Lewandowski,718,73,271,59,Hamburg,de
70422392,phschaer,Philipp Schaer,350,249,1376,212,"Cologne, Germany",en
743848332804628485,jcdl2018,JCDL 2018,140,61,117,247,"Fort Worth, TX",en
1427881004,dblp_org,dblp,709,77,523,310,"Schloss Dagstuhl, Germany",de
20513353,epentz,Ed Pentz,1232,128,1736,46,"Oxford, England",en
45562530,dshotton,David Shotton,441,44,74,2,"Oxford, UK",en-gb
4294353075,metafacture,Metafacture,57,53,404,1,,en
2268682651,reitz_f,Florian Reitz,86,243,648,444,"Trier, Germany",en
1675730336,by_MRA,Marcel R. Ackermann,71,34,214,137,,de
850060627888492545,dblp_ley,Michael Ley,18,44,3,8,,de
587518325,junicatalo,Jana Hentschke,271,265,159,172,Frankfurt,de
2462986296,OpenRheinNeckar,OpenDataRheinNeckar,617,1274,682,1004,Rhein-Neckar,de
310741473,stefandietze,Stefan Dietze,391,242,223,283,"Cologne, Germany",en
