id,screen_name,name,followers_count,friends_count,statuses_count,favourites_count,location,lang
2172793717,B_Gesundbrunnen,Gesundbrunnen Berlin,1032,196,6661,5658,Neuigkeiten / Infos,de
252672837,weddingweiser,Weddingweiser,2204,540,11816,3290,Berlin-Wedding,de
843591000,zlb_digital,Digitale Landesbibliothek Berlin | ZLB,870,726,1618,1277,"Berlin, Germany",de
2360867287,zlb_Berlin,ZLB Berlin,1241,392,2741,1313,Berlin,de
239385910,dswyber,DS Wyber,792,1580,1764,190,Paris,en
993878418524647424,ArabicDivan,ArabicDivan,220,264,397,146,"Schützallee 27-29, 14169 Berlin",de
2913614824,BVG_Kampagne,Weil wir dich lieben,282768,763,41402,16859,Impressum:,de
1326482264,GalleryWeekend,Gallery Weekend,2081,322,404,502,Berlin,de
725962080,BerlinArtWeek,Berlin Art Week,7375,1029,1093,1133,Berlin,de
53019133,berlinbiennale,Berlin Biennale,8148,195,781,573,"Berlin, Germany",en
390287262,Astro_Alex,Alexander Gerst,1240688,104,4707,570,Low Earth orbit,en
481198879,ahmad_alsulaiti,أحمد السليطي,164185,321,8213,482,Qatar,en
886656402348941312,j0t51,سراب,19,118,94,102,دولة قطر,ar
368068553,SaoudAlthani7,سعود بن عبدالرحمن,49483,510,10949,6866,Qatar,en
92270496,Bothina_,Buthaina M Al-Janahi,2885,909,6459,2292,حبيبتي قطر، Qatar,en
2911597230,QLIAssociation,LIAssociation-Qatar,362,210,293,114,Doha - Qatar,en
3119992756,TamimBinHamad,تميم بن حمد,385381,0,70,0,,en
33642558,rehabouf,Rehab Ouf (رحاب عوف),17029,5579,196955,8029,"Alex, Egypt",en
1667843672,SAlshiba,Samia H. Al-Shiba,287,1207,1188,1794,قطر,ar
186881919,AlJaber_AlThani,محمد بن عبدالله بن علي ال ثاني,1186,132,42545,3921,Doha - San Francisco,en
42918167,WISE_Tweets,WISE,59004,3370,25917,3828,Global,en
495242043,MazenQU,د. مازن عمر حسنه,2934,248,1906,446,Qatar,en
847791183225118720,IFLA_LibraryMap,IFLA Library Map,723,152,70,24,"The Hague, The Netherlands",en
223788486,2022doha,Mohammed Al Kaabi,357,351,2210,53,London,en
1926030332,NestleGermany,Nestlé Deutschland,18503,536,7333,1159,Frankfurt am Main,de
871558982,QU_Library,مكتبة جامعة قطر,4950,278,429,180,"Doha, Qatar",en
712217980264947712,MBA_AlThani_,محمد بن عبدالرحمن,359003,36,1474,120,Qatar,en
566129203,TameemAlthani,تميم بن حمد آل ثاني,415898,24,372,0,Doha - Qatar,ar
360478965,JoaanBinHamad,جوعان بن حمد,764420,174,6459,12,قطر | Qatar,en
4568889982,alkawari4unesco,Hamad Al-Kawari,69269,500,1652,1425,,fr
185104586,ghali1976,Mohamed Ghali Mubarak,775,2232,497,1195,,en
2769416084,GermanyinQatar,German Embassy Doha,2923,87,1443,246,"Doha, Qatar",de
1672445947,BTahzibLie,Bahia Tahzib-Lie,4083,1177,3599,3977,"Doha, Qatar | ‎‎الدوحة، قطر",en
522154603,QatarTelevision,تلفزيون قطر,118650,8,39492,9,Qatar,en
3116675864,almayassahamad,Al Mayassa Al Thani,245590,186,3048,335,State of Qatar,en
372589209,QatariDaily,يوميات قطري,131171,24,13515,5343,"Doha, Qatar",en
3068633583,QatarEmb_Berlin,سفارة دولة قطر-برلين,7949,171,2722,1363,Berlin,en
1509959970,bremenNEXT,bremen NEXT,1047,59,387,413,BREMEN ,de
324855667,ifi_aub,IFI at AUB,5104,674,5764,3758,"Beirut, Lebanon",en
4783543463,AGYA_events,AGYA Events,580,555,1180,444,,de
418985359,Hassan_alsai,حسن الساعي,512334,11273,121064,670,قطر موطني ,en
14926387,LCDonna,Donna Scheeder,227,88,125,48,,en
1088413298,AshghalQatar,هيئة الأشغال العامة,85888,0,12262,1247,Qatar,en
14573832,hiperterminal,David,5721,6280,24494,667,"Bogotá, D.C., Colombia",en
1190315210,GPSalmeron,Glòria PérezSalmerón,4631,943,13708,5468,Spain,es
154286789,slaagc,slaagc,56,1,2,0,Arabian Gulf,en
418126519,Qatar_Tweets,قطر تويتس,191933,18,37717,350,قطر ⚖️,en
2801350550,bibverband,Bibliotheksverband,2720,885,5418,1769,Berlin,de
4205050932,MidEastLibs,MELA,865,153,890,1618,Worldwide,en
243236419,CFigueres,Christiana Figueres,128240,331,6673,262,London and San Jose ,en
328542757,ingalunden,Inga Lundén,502,199,1125,170,"mostly in Stockholm, Sweden",en
151991364,QScience,HBKU Press/QScience,1479,1760,1325,315,"Doha, Qatar",en
42569031,Aalbaker,AbdulRahman Al Baker,1016,340,6350,3403,Qatar,en
2315373398,BLQatar,BL Qatar Partnership,3937,676,4338,1979,London,en
178506523,ellenremona,Ellen Tise,41,31,28,22,,en
4970411,AJEnglish,Al Jazeera English,4921235,265,217653,3277,"Doha, Qatar",en
15334423,loidagarciafebo,loidagarciafebo,4163,2606,16272,1055,NYC . Puerto Rico,en
157275505,Hortensius,Thomas Colombéra 🌈,1875,1042,13154,3144,"Paris, France",fr
1595462084,WLIC2014Lyon,WLIC 2014 Lyon,521,131,696,469,,fr
338958005,IFLA_Lib4Dev,IFLA Lib4Dev,1992,808,1145,760,"The Hague, Netherlands",en
183582343,DTArchive,DohaTweetups Archive,55294,7,11293,1538,"Doha, Qatar",en
56703325,DohaFilm,Doha Film Institute,75981,2416,21115,2928,"Doha, Qatar and the World!",en-gb
50351218,Qatar_Museums,Qatar Museums,67614,135,16501,1259,QATAR,en
43682702,QatarHappening,Qatar Happening,165079,1267,14488,398,Doha Qatar,en
18424289,AJENews,Al Jazeera News,1435428,372,112425,329,"Doha, Qatar",en
23123824,dohanews,Doha News,514549,2877,27648,5560,"Doha, Qatar",en
116424578,QF,Qatar Foundation,310080,200,18332,2101,"Doha, Qatar",en
955087075,QNLib,مكتبة قطر الوطنية,26354,71,9005,1545,"Doha, Qatar",en
109720244,UNLibrary,UN Library,58512,2434,11927,1274,New York,en
138043643,bibportal,bibliotheksportal.de,2904,598,3980,802,Berlin,de
153545631,S__Sultan,سامية حسن,220,749,8029,333,Qatar,en
344303452,alsaids77,Saadi Al-Said,394,2381,541,44,"Doha, Qatar",en
253742656,WDLorg,WorldDigitalLibrary,65289,127,4701,450,@librarycongress,en
86965825,vinyetp,Vinyet Panyella,2514,2263,29208,35644,,ca
1033731,PatrickD,Patrick Danowski,1262,567,2764,414,"48.207437,16.346835",en
20280065,HansRosling,Remember H. Rosling,353631,173,3921,173,"Stockholm, Sweden",en
23554196,twibes,Adam from Twibes,81494,12995,1281,2804,Seattle,en
5747312,morjan61455,Janice L. Greenberg #MGStrong,950,2847,24567,57095,NJ,en
22415999,SpeakerFuturist,Thomas Frey,239,10,8,0,Colorado,en
17899109,gatesfoundation,Gates Foundation,1899834,935,13689,3115,"Seattle, Washington",en
5921152,Fiona_Bradley,Fiona Bradley,2280,415,9981,253,"Sydney, New South Wales",en
25989146,bib_info,BIB,2609,110,5048,106,Deutschland,de
65882276,library_pirate,kathi woitas,897,2320,5382,1150,"winterthur, ch",de
115183712,InternetEnquete,Internet-Enquete,6637,557,713,0,"Berlin, Deutscher Bundestag",de
22778541,rbbabendschau,rbb Abendschau,91575,830,24914,2275,Berlin,de
24277906,FAZ_Feuilleton,FAZ Feuilleton,67004,132,42594,84,Frankfurt am Main,de
15243812,tazgezwitscher,taz,554134,1150,81424,3062,"Berlin, Friedrichstraße",de
22926365,Tagesspiegel,Tagesspiegel,354050,1339,182259,5642,Berlin,de
75012105,ZBW_news,ZBW,2300,741,8598,93,Kiel und Hamburg,en
142991496,IFLAsatMalmo,IFLA Malmö,21,21,6,0,Malmö,en
104297074,npsig,New Professionals,3296,578,4023,1497,Global,en
112333112,IFLA_FAIFE,IFLA FAIFE,1719,134,921,63,The World,en
30842226,IFLA_L2_SIG,IFLA Library 2.0 SIG,406,0,10,0,,en
53361561,IFLA,IFLA,23428,362,2776,779,"The Hague, The Netherlands",en
9854122,LibrarySecrets,LS! Librarian,2205,114,191,1,"College of DuPage, Glen Ellyn,",en
90233276,AMTAMMARO,Tammaro Anna Maria,880,561,1538,456,Parma,en
