id,screen_name,name,followers_count,friends_count,statuses_count,favourites_count,location,lang
864408613250617344,Mr_DLib,Mr. DLib,11,9,4,1,"Dublin City, Ireland",en
755733488851189760,sigir2019,ACM SIGIR 2019,375,88,13,1,"Paris, France",fr
239722311,JoeranBeel,Joeran Beel,106,96,24,1,"Dublin City, Ireland",en
1057661163956330497,AMIR_Workshop,AMIR Workshop 2019,8,10,1,0,"Cologne, Germany",en
22807586,TIBHannover,TIB,3630,2090,6081,3719,"Hannover, Germany",de
956620975268925440,Herzig_TH_Koeln,Herzig,57,41,48,116,,de
3152620030,FranziskaPradel,Franziska Pradel,40,121,26,56,"Köln, Deutschland",de
920700510306529280,acm_ictir,ACM ICTIR,204,261,18,1,"Tianjin, China",en
1041708770865274886,_berndmueller,Bernd Müller,13,47,10,45,,en
1991321,suzan,Suzan Verberne 🤹‍♀️,1302,1234,10814,5835,"Nijmegen, Nederland",nl
942772717534801920,so_proksch,Sven-Oliver Proksch,391,341,19,52,"Köln, Deutschland",de
722472484231110657,Leih_Verkehr,Leihverkehr,238,95,268,759,"Cologne, Germany",en
187842952,palantir27,Claus-Peter Klas,16,90,8,10,,de
845316873952657408,malte86331016,malte,1,51,21,2,,en
850060627888492545,dblp_ley,Michael Ley,18,44,3,8,,de
390167291,gitlab,GitLab,83527,333,27865,10603,,en
2921310605,Mattermost,Mattermost,5423,816,2107,2184,"Palo Alto, CA",en
43868896,kaiec,Kai Eckert,316,279,799,89,,de
770865586805022720,localmem,Local Memory Project,50,1,59,14,,en
151901549,phonedude_mln,Michael L. Nelson,882,435,5890,1661,"Norfolk, VA",en
2592291038,acnwala,Alexander C. Nwala,239,88,1260,439,"Norfolk, VA",en
2604299012,OpenDataKoeln,Offene Daten Köln,1653,165,505,242,Köln,de
2915275059,UrsulaGeorgy,Ursula Georgy,218,196,1118,1840,Cologne,de
16325696,HDrachsler,HDrachsler,1008,454,1524,251,"Netherlands, germany, europe",en
15150655,konradfoerstner,Konrad Förstner,1088,824,9540,1415,"Köln, Deutschland",en
808633423300624384,arxiv,arXiv.org,6672,67,300,136,"Ithaca, NY",en
