id,screen_name,name,followers_count,friends_count,statuses_count,favourites_count,location,lang
1009012670790623232,join_ada,ada,3368,20,170,347,"Düsseldorf, Germany",de
140821364,DoroBaer,Dorothee Bär,82534,2793,27063,13020,,de
559756881,BenediktHerles,Benedikt Herles,1045,425,270,106,"Munich, Germany",de
16496981,danvers,Dan Verständig,486,273,6258,6193,"Berlin, Deutschland",en
633,zephoria,danah boyd,234440,1367,5645,94,"New York, NY",en
305504760,DrewWhitworth1,Drew Whitworth,772,232,1461,289,"Hebden Bridge, UK",en
1001048472492150784,FemaleOneZero,Female One Zero,844,402,301,526,,en
51149643,2poka,tupoka,935,145,603,14,Germany,en
4516255048,NadiaMuradBasee,Nadia Murad,142817,353,1502,492,Deutschland and Sinjar ,en-gb
2834050870,nasserrabbat,Nasser Rabbat,1164,248,5459,6493,"Cambridge, MA",en
258353673,jsuedekum,Jens Suedekum,3019,437,3474,2843,Düsseldorf,de
518511014,gaedelars,Lars Gaede,842,782,570,702,Berlin and New York ,de
181710127,Nebras_Khayata,Nebras Khayata,11,85,7,22,"Berlin, Germany",en
407327304,adiba_s,Adiba Maignan,102,263,55,59,Berlin,en
265259981,HebaLedwon,Heba Ledwon,119,206,154,71,Berlin,de
443915183,j_kloiber,Julia Kloiber,4378,1454,4521,10116,Berlin,de
973216211566817285,vhs_cloud,vhs.cloud,254,234,256,208,"Bonn, Deutschland",de
111301085,tobiasknobloch,Tobias Knobloch,1336,868,4937,2523,Berlin,de
3414679090,BitkomResearch,Bitkom Research,13661,9785,1835,992,"Berlin, Deutschland",de
765870079749783552,WKZBerlin,Willkommenszentrum,406,130,581,420,"Berlin, Deutschland",de
14291940,initiatived21,InitiativeD21,7286,945,6594,3484,Berlin,de
838686404414701569,Flchtlngshlfr_n,Flüchtlingshelfer.in,388,214,307,23,"Berlin, Deutschland",de
966662794446819329,IOMGermany,IOM Germany,373,157,170,195,Germany,en
3345197643,vhsLernportal,vhs-Lernportal.de,379,169,208,80,"Bonn, Nordrhein-Westfalen",de
2215244234,Bildung_Digital,Bildung_Digital,3260,290,1758,764,"Gütersloh, Nordrhein-Westfalen",de
788019778560679936,arrivo_sb,ARRIVO Servicebuero,317,402,437,424,"Berlin, Deutschland",de
770978734505652224,NETZWERK_UiF,NETZWERK Unternehmen integrieren Flüchtlinge,615,389,792,421,"Berlin, Deutschland",de
579890458,ICT4DatUNCTAD,ICT4D at UNCTAD,4241,559,6530,4297,"Geneva, Switzerland",en
14162038,ict4d,ICT4D,22211,3211,1531,3,,en
4856595712,CaroSilbernagl,Carolin Silbernagl,192,228,227,74,,en
27647166,cmagnussen,Christoph Magnussen,2864,307,1611,966,Instagram: @christophmagnussen,de
35462909,MTrautmann,Michael Trautmann,5949,4438,2152,1283,Hamburg,de
722020596461277185,SarahJBook,Sarah Jane Buch,41,240,298,587,"Berlin, Deutschland",de
21043853,MiGAZIN,MiGAZIN,7319,405,16871,170,Germany,de
518251805,almmura,Alaa Murabit,12469,897,9411,2155,,en
187797079,retresco,Retresco,561,387,1463,438,Berlin,en
3012497357,snv_berlin,Neue Verantwortung,3411,1809,1621,420,Berlin,en
53334851,LSMueller,Lena-Sophie Müller,7060,1571,15526,14630,,de
14361155,Refugees,"UNHCR, the UN Refugee Agency",2233773,1266,59140,21880,120 countries,en-gb
85469815,UNmigration,IOM - UN Migration,97961,3405,22990,13508,172 locations,en
59105244,unoflucht,UNO-Flüchtlingshilfe,5343,805,8631,759,"Bonn, Germany",de
930792833518395392,gd_women,Global Digital Women,5782,3583,6854,9085,"Berlin, Deutschland",en
2867945827,TijenOnaran,Tijen Onaran,9668,2171,12588,22757,Berlin,de
850334936955580418,Fluchtforschung,NWFF,389,2,345,76,Germany,en
4783543463,AGYA_events,AGYA Events,580,555,1180,444,,de
3001017796,alyeled,Leyla Dewitz,182,1060,79,984,"Berlin & Dresden, Germany",de
190710940,FunTresCulturas,Tres Culturas,5800,1129,9946,3709,"Sevilla, España",es
167835170,MedDhiaH,Med Dhia Hammami - محمد ضياء الهمامي,10437,3162,9411,1831,Wesleyan University,en
81077164,DigitalSkillsEU,Digital Skills EU,13931,7861,9027,2575,Brussels,en
749550996158816256,CoLIS2019,CoLIS2019,112,12,7,0,"Ljubljana, Slovenija",en-gb
852496109071200256,ISIC2018,ISIC 2018,123,93,231,392,,pl
614716389,iconf,iSchools iConference,1399,540,897,162,"Washington, DC",en
60825705,anlloyd,annemaree  lloyd,181,149,127,108,,en
1169977447,StephvandeSandt,Steph. van de Sandt,169,204,732,476,"Meyrin, Suisse",de
932557553489399808,IBI_HU,IBI der HU Berlin,376,83,156,182,"Berlin, Deutschland",de
21388695,abususu,yassin musharbash,12687,842,13142,6173,"berlin, mostly",en
2722419902,TheArabSource,Al-Masdar News,50201,7,36112,1,,en
860949998808248322,AlMasdarDeutsch,Al-Masdar Deutsch,540,8,314,3,Deutschland,de
829337353600827392,dalghazawi1,Deaa AlGhazawi,2,25,1,10,"Berlin, Deutschland",de
2468886751,SyriaCivilDef,The White Helmets,130872,10689,11020,9804,Syria,en
14200987,KenanRahmani,Kenan Rahmani كنان,10260,3885,19561,1715,Btw Washington DC & Free Syria,en
22760252,clarissaward,Clarissa Ward,44229,1115,8778,5949,"here, there and everywhere",en
299734693,NYTBen,Ben Hubbard,40280,1644,9582,805,متنقل,en
18378044,Josiensor,Josie Ensor,15379,3629,14271,6754,Beirut,en
49383389,GilPress,Gil Press,21345,3453,33924,2241,Boston,en
737621734522638340,isi2017conf,ISI2017,47,0,62,3,"Berlin, Deutschland",de
91440853,delsweil,David Elsweiler,795,461,6166,3128,Nuremberg,en
1153507362,Dunja_Mijatovic,Dunja Mijatovic,19934,1564,42121,7140,"Strasbourg, France",en
18047862,faznet,FAZ.NET,485877,274,131467,1009,Frankfurt am Main,de
75012105,ZBW_news,ZBW,2300,741,8598,93,Kiel und Hamburg,en
45369613,fgnagelmann,friedrich nagelmann,96,357,75,0,Potsdam,en
20430497,webisblog,webis,883,464,2792,804,,de
20529051,hobohm,H.-Chr. Hobohm,1665,1566,4316,2134,Potsdam,de
47944691,t7l,Tobias Siebenlist,386,652,2624,3512,"Düsseldorf, Germany",de
14368618,tillk,Till Kinstler,556,239,3058,55,Göttingen,de
23774548,nowakman,Manfred Nowak,278,339,343,7,"Germany, Hannover",de
26711986,nesnu,Gerald,230,164,1013,25,,en
