id,screen_name,name,followers_count,friends_count,statuses_count,favourites_count,location,lang
3298017153,CaroppoDaniel,Daniel Caroppo,5591,5678,4342,12657,"Stuttgart, Baden-Württemberg",de
755378441206235136,Tag_der_Bildung,Tag der Bildung,293,380,498,331,"Berlin, Deutschland",de
1070466752440610821,sanchaba12,Sanchaba12,289,1294,1,15,Gambia,en
895562887,dalewagner38,Dale Wagner,76902,73121,67780,2233,"San Diego, CA",en
42258304,wtlx,Wolfgang Loest,1381,647,6795,1042,Horn-Bad Meinberg,de
455134731,lernallee,Dörte Stahl,138,224,885,1344,Essen,de
36889519,RaminNasibov,RΛMIN NΛSIBOV,641011,638112,10951,1099888,"Berlin, Germany",en
1031894267428405249,AdinaEngelhardt,bp-awp.de Team,39,259,46,279,"Berlin, Deutschland",en
22913651,1StepTo,Susanne Plaumann,1519,1426,17596,7288,Berlin,en
34290076,Thikunze,Thilo Kunze,624,704,1080,204,Berlin,en
711657217099964416,sabine_dyas,Sabine Dyas,39,90,70,947,"Koblenz, Deutschland",de
41325542,sarfeld,Frank Sarfeld 🇪🇺🇪🇺,3905,4980,57020,47279,"Bruxelles,Berlin, Düsseldorf",en
4144022663,Natabeckie,Natalia Beckmann,29,133,235,162,,de
201202669,markupforum,markupforum,458,370,390,141,Stuttgart,de
980366401847414786,DigitaleKids,Digitale Kids,259,852,543,1053,München,de
1013456378445385728,FuzziIP,Thomas Hartmann,111,186,232,49,"Berlin, Deutschland",de
2770824507,SGmirek,Silke Gmirek,3,64,0,0,,de
4797312067,toziwriting,Tobias Zimmermann,438,491,885,1209,Zürich,de
996085895294930945,smartgymlife,Smart Gym Life,222,852,20,45,,en
1051287376415272960,Iwansyahputrat1,Iwansyahputratakin,23,1074,74,26,,fr
1044098264428089344,AgustiMundet,Agustí Mundet,19,230,7,8,"Vienna, Austria",en
592640760,schreibkurse,Schreibkurse,171,325,493,444,"Frankfurt am Main, Deutschland",de
1054421944852996096,biplob_OaMetrix,Biplob Kamrujjaman,10,90,10,9,United Kingdom,en
166171152,Clau_Bade,Claudia Bade,217,503,844,1939,"Leipzig, Deutschland",de
1028621076341944321,bpa_agv,bpa Arbeitgeberverband e.V.,219,763,71,23,"Berlin, Deutschland",de
957104359,solofuerstereo,Christian Vogel,58,205,237,292,,de
182309457,kwagui,Guido Kwast,564,766,1044,99,Lübeck,de
744873351135502336,Funky_learning,Petra Danielczyk,332,585,713,708,,de
1006606009182380034,LehrlaborUK,Manuela Kenter,62,173,171,134,"Hamburg, Deutschland",de
4403951848,SvenPoka,Sven Poka,171,367,1225,2323,"Lübeck, Deutschland",de
4743754815,SzeplakiRita,Rita Pinhasi,56,233,91,507,"Vienna, Austria",en
42837706,mmb_institut,mmb institut,152,70,134,31,"Essen, Germany",en
755330323030872064,zhe_phzuerich,ZHE,627,580,575,636,"Zürich, Schweiz",de
2366117688,MiekeFrank,Annemieke Frank,2419,1939,693,1046,"Berlin, Germany",en
2879697933,fbuehring,Franziska Buehring,391,554,797,2781,Berlin,en
154498062,data2type,data2type GmbH,342,336,1830,646,"Heidelberg, Wieblinger Weg 92a",de
1710910442,letexml,le-tex XML Tech,487,312,646,1093,"Leipzig, Germany",en
3336435795,CmaigutCornelia,Cornelia Maier,1,23,61,16,,en
2180469960,AntoniaCamiS,Antonia C. Schrader,58,276,60,164,"Leipzig, Berlin, Potsdam",de
1050010621503258625,RolfRehbold,"Rolf Rehbold, stellv. Dir. FBH",59,78,143,556,Köln,de
52349626,StabiHH,Stabi Hamburg,3758,491,23081,14177,"Hamburg, Deutschland",de
82128678,mkraetke,Martin Kraetke,584,523,3556,4245,Hypezig,de
840678540374888448,FloRa_Education,Florian Rampelt,324,566,398,1040,"Berlin, Germany",de
896211181618302976,RonnyRoewert,Ronny Röwert,210,277,212,4582,"Berlin, Deutschland",de
801549514238808064,svenfund,@svenfund,195,355,375,683,"Berlin, Deutschland",de
20908950,JudithBK,J. Buendgens-Kosten,1425,2474,12068,2965,"Berlin & Frankfurt/M, Germany",de
916000925508042752,PhilippAdrianH,Philipp Hess,35,133,125,395,"Berlin, Deutschland",de
966607907075903488,MarinaKuttig,Marina Kuttig,171,51,513,953,"Bonn, Deutschland",de
1372969446,achmatow,paul achmatow,879,631,18511,5211,,de
1003953002074529797,dghd2019,Jahrestagung dghd19,238,946,132,99,"Leipzig, Deutschland",de
756460818,SebastianGuhr,Sebastian Guhr,129,228,19,45,,de
306276491,fraubergmann,Frau Bergmann,423,1192,1497,4183,Borgholzhausen,de
14331923,pixelkoenig,Lasse Rheingans,1079,1283,2119,705,"Bielefeld, Germany",de
2774583425,DKW_follow,Dirk Werner,95,107,103,221,"Köln, Deutschland",de
629185301,LauraSchvbert,Laura Schubert,446,461,237,1365,Berlin,de
202084757,pametsarka,R,776,2456,21154,28768,Germany & Greece,de
1911090103,LeonardoD_FFM,Leonardo Dalessandro,117,271,405,1297,,de
2335158500,JanCloppenburg,Jan Cloppenburg,496,926,2299,4104,"Berlin, Deutschland",de
969196046147620864,bcboeblingen,Barcamp Böblingen,175,636,141,928,"Böblingen, Germany",en
791192318858633216,kimluciadeutsch,Kim Deutsch,19,33,12,67,,en
1021368123457490945,LisaFritsch3,Lisa Fritsch,10,61,4,56,,en
3740407036,BastianDrees,Bastian Drees,253,382,815,1138,,de
991037018405851136,karin_rott,Karin Rott,25,61,43,184,,de
733366009621536768,annekatweiss,Anne Weiss,630,924,3258,12577,,en
950737521901793280,nabibb_de,NA beim BIBB,441,390,1198,870,"Bonn, Deutschland",de
1007797968,Edition_OA,Edition Open Access,224,214,118,524,Berlin,de
864772071842250752,helenebrinken,Helene Brinken,305,316,143,339,"Göttingen, Deutschland",de
3192112948,Bibliomantin,Daniela Dobeleit,248,170,1181,819,"Dresden, Sachsen",de
