id,screen_name,name,followers_count,friends_count,statuses_count,favourites_count,location,lang
3222646190,CorneliaVonhof,Cornelia Vonhof,43,20,20,6,,de
32992006,joresa,andrea,22,106,27,108,Halle/Saale Germany,de
3030374453,bibliothek_gyha,Gyha Bibliothek,9,249,1,20,,de
166509521,aatvos,Aat Vos,450,323,304,506,The Netherlands,en
979765554457333760,raymon_mueller,raymon müller,7,178,18,5,,de
3740407036,BastianDrees,Bastian Drees,252,375,813,1129,,de
2611859142,peanjo64,SMS,3,49,12,29,"Hessen, Deutschland",de
891632594055516160,JackyMieh,Jacky,3,50,0,6,,de
36011837,upmeier,Arne Upmeier,236,315,1197,847,Ilmenau,de
1003195805631766529,CharlotteRitt19,Charlotte Ritter,1,16,0,3,,en
16465863,sukstorf,Sebastian Sukstorf,68,123,8,42,"Hamburg, Germany",de
272711434,a_beranek,Angelika Beranek,1192,1797,1229,1070,Taunus/ Allgäu/ München,de
2390683054,EllenEuler,Q55222800,2687,1791,2821,8298,Berlin,de
3372201089,riffreporter,RiffReporter,3739,4328,6058,6656,"Berlin, Deutschland",de
15150655,konradfoerstner,Konrad Förstner,1091,824,9559,1425,"Köln, Deutschland",en
11536612,FHB_Bibliothek,Bibliothek FH Bgld.,985,1652,1158,339,Eisenstadt,de
57410737,SusiSorlos,SpunktWpunkt,43,421,806,4549,,en
838478069358813184,bastel_dolly,Dolly Bastel,0,29,12,51,"Stuttgart, Germany",de
202084757,pametsarka,R,776,2434,21098,28706,Germany & Greece,de
3336369141,dispraise,Nina,57,502,827,11070,Nordrhein-Westfalen,de
600281209,DietmarPersian,Dietmar Persian,60,237,99,326,"Hückeswagen, Deutschland",de
304088462,UBiWi,UBiWi,354,449,2960,356,OL / B / HD / BS / K,de
1040622176595005440,KristinSchulz5,Kristin Schulz,0,38,0,3,,de
1042162022358700032,Ausleihtheke,Angry_Fami,57,172,13,2,,de
133692917,kaethchen44,Katja Heyser,51,238,32,63,"München, Bayern",de
730612216588869633,hoeperan,Andrea Höper,4,77,55,234,,de
958677809010003968,Axiell_DACH,Axiell Deutschland,94,264,238,196,"Mülheim, Deutschland",de
1037048282881642497,HeikePflugner,Heike Pflugner,0,4,0,0,,en
70422392,phschaer,Philipp Schaer,350,249,1377,212,"Cologne, Germany",en
827937159940284416,realDantastic,Dantastic,1,89,0,6,,de
955458725795565568,RafaelaGiordan0,Rafaela Giordano,53,284,213,2015,"Heidelberg, Deutschland",en
1035450699516137472,BibliothekenRdf,bibliothekenreinickendorf,17,91,14,20,"Berlin, Deutschland",de
759752368137211904,de6_6y,Deb By,4,187,25,169,,de
230816400,Ohinte,Oliver Hinte,354,805,5700,441,Köln,en
92982839,book2net,book2net,1440,4992,5017,4542,"Germany, USA, Worldwide",en
7576232,luis_ende,Luis,33,162,243,159,Mexico City,de
724668091062456320,hewi2k16,📚 rollin' librarian,159,527,3126,3765,Süddeutschland (BaWü),de
15178997,StabueWuerzburg,Stabue Würzburg,1174,422,10932,3446,Würzburg / Germany,de
1016724708983803904,VassKatharina,Katharina Vass,13,33,16,67,"Düsseldorf, Deutschland",en
2513609502,bauberer,Benjamin Auberer,297,1460,490,1278,,de
870582239452684289,JenzerGaby,Gaby Jenzer,2,22,14,35,"Bern, Schweiz",de
1016754250347630594,NikasErben,Nikas Erben,350,1089,434,676,,de
15377269,UBIlmenau,UB Ilmenau,602,357,1594,178,Ilmenau,de
18331899,nordenhampublib,nordenhampublib,125,11,1732,25,,de
362510960,JenKreder,Jen Kreder,1950,4848,1920,4503,,en
11053712,th_koeln,TH Köln,11219,468,7096,1722,"Cologne, Germany",de
3130597343,WLeitmeier,waltraud leitmeier,13,91,2,501,,de
2364434644,postvonah,Anne Heimansberg,221,388,3710,3453,Germany ,de
1003967607517663234,bub_magazin,BuB: Forum Bibliothek und Information,379,29,187,49,Reutlin,de
107086256,clrsmn,Clara Simon,50,89,314,1383,Hamburg,en
3110662589,protestreich,Mandy,96,137,1460,883,,de
1134389244,FroschThekla,Milena Pfafferott,54,153,157,44,,de
36518571,fsteeg,Fabian Steeg,656,400,4688,7023,"Cologne, Germany 🇪🇺",en
150604211,Stb_Bielefeld,Stadtbibliothek,1034,369,11272,2783, Bielefeld,de
34579619,Fascinatedbooks,Katja Nielsen,17,86,0,54,Deutschland,en
14734837,jplie,Juergen Plieninger,1601,1410,8585,1669,"stuttgart, germany",en
594943356,stober_stephan,Stephan Stober,349,184,8078,232,Hamm / Germany,de
253514356,PetraLib,Petra Sturk,32,250,117,660,,de
991805439506616321,bibTalk,bibTalk Stuttgart,84,122,150,477,"Stuttgart, Germany",de
908952914605068289,HOOUHamburg,HOOU,707,847,1207,3034,"Hamburg, Deutschland",de
12220,cervus,Basti Hirsch ッ,3311,1247,24563,57108,"Hamburg, Germany",en
1008299985048305665,FaMI_Treffen,FaMI-Treffen Berlin,77,449,156,318,Berlin / Potsdam,de
24703223,SGuelck,Stephan Gülck,62,104,123,450,Flensburg,de
791354736163381250,Sylvia34121325,Sylvia,20,59,30,66,,de
873430898,reginaboeh,Regina Böhning,37,257,37,83,,de
150258461,chueffer,Spiess Michaela,13,146,32,8,,en
1007600831208873985,eberle_magda,Magda Eberle,28,193,12,97,,de
3153642201,paulthaas,Paul Haas,271,527,950,1310,"Oldenburg, Hamburg",de
2319070044,bibliotheksnews,bibliotheksnews,1295,496,1175,276,,de
1894760815,Clara_Berri,Clara Berri,38,121,5,34,,de
965703318541668352,an_cremer,Angelika Cremer,0,22,0,1,,de
238196058,kalifstorch25,Das Storch,64,101,4022,7881,,de
902616308197490688,BiboDonat,Bibobock,4,234,1,0,"Freiburg, Schweiz",de
884842172041834497,bibliocosmonaut,David Ebenfeld,262,1123,9726,10668,Ol,de
263097669,MadameVeleda,Madame V,37,363,320,2684,Düsseldorf,de
4850965258,maxouke,Max Ke,43,200,35,869,Deutschland,de
14937469,v_i_o_l_a,viola voß,1229,1063,66799,0,germany,de
733309125514395650,buechereien,BVÖ,178,223,391,258,"Wien, Österreich",de
273104071,CaroChris,Carola Speicher,47,124,18,39,Wiesbaden,de
829644731525300225,lbz_rlp,LBZ RLP,187,202,477,189,"Rheinland-Pfalz, Deutschland",de
17995728,cordula_noe,Cordula Nötzelmann,323,447,1147,1344,"Wuppertal, Nordrhein-Westfalen",de
2915275059,UrsulaGeorgy,Ursula Georgy,218,196,1124,1858,Cologne,de
1001888999538032640,MrXxGrkemxX1,Görkem,1,96,0,0,"Haan, Deutschland",en
983801624102670338,annabelle_qu,Annabelle Quehl,34,265,23,208,"Hamburg, Deutschland",de
284967405,Informationbay,Heike Kamp,40,98,207,49,Bremen,de
101273642,unverwechselbar,Christine Michel,28,107,176,338,München,en
51033902,Art1Pirat,←Käffch'n?,1115,1285,51141,40924,LE / DD / Space,de
888491883663691776,StBibCharlowilm,Stadtbibliothek Charlottenburg-Wilmersdorf,131,223,492,203,Charlottenburg-Wilmersdorf,de
45374547,rosenke,Stephan Rosenke,341,444,1976,19,Darmstadt,en
443805565,WobIntosh,WobIntosh@chaos.social,405,353,77164,70268,Aurich,de
22521878,esteinhauer,පුස්තකාලයාධිපති // kirjastonhoitaja,1160,991,26238,13034,Internet,de
814553100891594752,juliskram,Julia,210,462,685,10379,Hamburg,de
1690634833,meikejaeger,Meike Jäger,123,1312,2,11,,de
30005273,mona_gamie,Kathrin Joswig,203,393,805,7412,"Hamburg, Germany",de
94570982,BibliothekWND,Bibliothek St.Wendel,496,923,1478,610,St. Wendel,de
786840833785991168,somebib,Carolin Helfmann,67,393,15,58,"Hochtaunuskreis, Hessen",de
295722502,marlene_n,Marlene N.,817,562,4047,9583,"Erlangen, Germany",de
987248142683865088,BibliothekenNRW,Bibliotheken NRW,124,70,21,56,Nordrhein-Westfalen,de
983467226689867776,Harolddd4,Harolddd,248,2151,4,0,"Walesby, England",en
977945899883253761,biblio_dani,Dani M,46,130,397,841,"Hamburg, Deutschland",de
2180799126,drseidlt,Tobias Seidl,174,156,447,134,,de
786895826052341760,bug_murphy,Maike Lins,24,154,14,162,,de
939195510,RebeccaCarina,Rebecca Carina,42,158,90,205,,de
462366624,Duhem_,Jochen Apel,724,2093,2598,2572,"Heidelberg, Germany",de
151796516,sille61,Sylvia Schöne,127,228,2138,825,Dresden,de
35060913,johannesneuer,Johannes,710,982,1166,83,,en
76887049,timovt,Timo van Treeck,1675,2297,25057,10981,Düsseldorf / Köln,de
2923161556,heyaAdri,Adriana,49,48,83,115,,en
965522495402102784,lbbmarc,Marc Bücherei,0,33,0,0,,de
959751171002060800,tagestinte,tagestinte,296,1091,2037,1,,de
572102957,br1b1e,Brigitte Bielinski,51,220,16,21,München,de
960442354632151040,KatjaHinz1,Katja Hinz,1,16,3,4,"Schleswig, Deutschland",en
71265632,pressenet,Bücher & Rezensionen | Books & Reviews,24643,15796,4495,5130,"München, Deutschland",de
20529051,hobohm,H.-Chr. Hobohm,1668,1567,4326,2140,Potsdam,de
2499948919,piifkaa,Steffi,143,656,1613,4202,Berlin | Weißwasser | Leipzig,de
948622774645477377,Taesh6,Taesh,4,41,17,24,,en
795970028164235265,zbiwthkoeln,ZBIW.,268,476,184,260,"Köln, Deutschland",de
921653183423963136,Birgitwieauch,Birgit,1,118,30,1535,,de
592018739,The1andOnlyMeep,Meep,9,184,22,102,Deutschland,de
942136539991199744,bibliothekswand,bibliothekswandelungen,76,1058,990,8859,,de
17175257,struwwelchen,FragdochmaldieBib,956,1715,12471,9219,INF 368 69120 Heidelberg,de
22246262,fotoversuche,Fahrenheit 45130,383,4318,1102,1375,"Essen, Ruhrgebiet",de
489609985,Careenough4mein,Me. I am Holger ♋️,1868,399,22134,35572,Koblenz,de
16262258,Buchgefluester,Papiergeflüster,6633,739,17472,16990,,de
27976432,karldietz,karldietz,758,1981,17948,229,"Herrenberg, Deutschland",de
920354957953466368,cornelia_pohl,Cornelia Pohl,44,57,52,125,"Köln, Deutschland",en
59760726,SvenKoble,Sven Koble,176,1205,111,12,All around the world,en
85658776,fhuysmans,Frank @frhuy@mastodon.social,3776,3260,43181,25955,"Den Haag, Netherlands",nl
180306335,hannevogt,Hannelore Vogt,221,323,854,1695,Köln,de
927870333398503424,hildeindahouse,hildeindahouse,16,39,11,72,,de
927834419867668480,VFrauVero,Veronika Czerwinski,27,48,23,85,Märkischer Kreis,de
1243638726,JunrenPeng,Julia Tank,4,54,77,69,,de
19020271,mrudolf,Rudolf Mumenthaler,1959,1336,4725,2273,Switzerland,de
848956094739345410,ElisaBaumann,Elisabeth Baumann,77,166,127,264,"Hamburg, Deutschland",de
918355941082451968,MrBlackProtect,TheMr.Black,206,2002,920,462,"Frankfurt am Main, Hessen, Hongkong, Manila, Katar, Zürich",de
139636927,StaBi_Mannheim,Stadtbibliothek MA,897,389,1580,356,Mannheim,de
19668470,Wintereis,Ellen Winter,0,20,0,0,,de
941791794,Lady_Entropy,Lady_Entropy,103,183,1688,1937,,de
914199086579851265,FrankOLIVA15,Frank OLIVA,743,4898,10688,4106,"Monterrey, Nuevo León",es
14000812,the_librarian,Julia Bergmann,1128,331,914,790,Bremen,de
2801350550,bibverband,Bibliotheksverband,2722,885,5426,1773,Berlin,de
870728175025868801,bibliothekatrin,Katrin Kabitzke,69,144,85,742,"Bremen, Deutschland",de
442688375,BiblioAlpnach,Bibliothek Alpnach,535,1322,2248,706,Alpnach Dorf,de
918848206259310593,wqcpost,Doro Weber,0,39,2,0,,de
2378828862,BIBWolf,Wolf Mußmann,91,153,912,1178,Hannover,de
25989146,bib_info,BIB,2610,121,5069,127,Deutschland,de
169896347,globolibro,Andreas Mittrowann,600,775,2305,157,Germany,de
287845568,NoSprung,Norbert Sprung,72,146,71,56,"Koblenz, Rheinland-Pfalz",de
768916966832762881,Books4LifeWien,Books4Life Wien,1612,4017,2792,8582,Wien,de
817665990066655232,Buecherwurm2987,Susanne P.,239,445,8667,19778,"Ingolstadt, Deutschland",de
145806397,bibliocopy,BiblioCopy GmbH,1019,2638,2762,4182,Berlin,de
