id,screen_name,name,followers_count,friends_count,statuses_count,favourites_count,location,lang
120387647,ErfolgVertrieb,ErfolgImVertrieb,443,3362,325,2055,World,de
274018772,Witzgall_T,Thomas Witzgall,101,325,382,972,Jena,de
3311939969,IBWMLeipzig,IBWM Leipzig,373,1048,383,298,"Leipzig, Sachsen",de
1051793357993910273,RonnyGey,Ronny Gey,1,38,1,5,,en
27883670,hauschke,@hauschke,1221,2050,12065,5230,,de
887562902961610753,fd_mentor,FDMentor,212,128,82,63,"Berlin, Deutschland",de
486614973,OCLC_DE,OCLC Deutschland,1174,1614,2589,1097,Deutschland,de
1054307923600596993,BndictRipperge1,Bénédict Ripperger,2,16,16,11,"Berlin, Germany",en
1014800711627038721,DiamondManaGmbH,Diamond Management GmbH,57,324,131,132,"Frankfurt on the Main, Germany",de
1021674739964751872,MomoSci20,MOMOSci20,83,212,112,161,World,en
85764008,martinaobst,MartinaObst,70,247,1079,1100,,de
950847647828598784,Sunrise68237340,Sunrise,0,2132,0,907,,en
845163814936952832,nexusDD_eV,nexusDD_eV,97,765,1360,1075,,de
849278880,JuliaSeither,Julia Seither,141,669,310,1484,Berkeley | Lisbon | Mozambique,en
937711803894771713,NadineDembski,Nadine Dembski,0,23,1,9,"Berlin, Deutschland",de
1037972664256737280,Akademikerinnen,Deutscher Akademikerinnenbund e.V.,20,11,24,7,"Berlin, Deutschland",de
1040503206156152832,KatharinaLehne8,Katharina Lehner,6,115,2,25,"Bayreuth, Bayern",en
3281181511,Wikicite,WikiCite,3017,3001,2875,2624,"Berkeley, CA",en
462366624,Duhem_,Jochen Apel,743,2140,2636,2648,"Heidelberg, Germany",de
4705022154,KaJuSchmi,Karin J. Schmitz,30,66,66,408,,de
996336557920530433,GreenOAccess,Christian,1,56,0,3,,de
996756833586024448,InspiringSTEM_N,InspiringSTEM Network,2017,4706,3730,3018,"London, England",en
983801624102670338,annabelle_qu,Annabelle Quehl,35,274,24,223,"Hamburg, Deutschland",de
3405382415,nafunda,nafunda,636,1201,6045,12324,,de
35060913,johannesneuer,Johannes,712,995,1172,103,,en
879440293535285249,kleenerMa,Mirko Beutmann,4,90,2,21,,de
9437692,j_colomb,"J. Colomb, @pen",440,365,2404,498,"berlin, germany",de
3596639117,GiselaFrauke,Frauke Gisela,173,538,546,1474,"Munich, Bavaria",de
837645373715927040,HappyWinners,MARIPAR team GmbH,21,311,41,77,"München, Bayern",de
996314194583740416,MaryMary_9,Mary,2382,279,149,8,United States,en
267198756,ankrjoe,Jan Kröger,816,1662,5376,2754,Germany,de
17505966,peterneish,Peter Neish,973,1333,4383,1666,"Melbourne, Australia",en
970596409975156737,fdmhildesheim,FDM Hildesheim,450,798,7861,6587,"Hildesheim, Germany",en
215629555,janpolowinski,Jan Polowinski,97,260,61,159,Dresden,de
39218315,_jensen,Jens Nauber,392,1030,1654,1662,"Dresden, Germany",de
2244354894,BiboSachsen,Bibliotheken in Sachsen,326,240,2128,2133,Sachsen,de
508013169,AlexanderLasch,Alexander Lasch,712,540,4218,4294,"Dresden, Sachsen",de
1402270914,Zasterabad,Gerald Jagusch,148,254,133,463,Darmstadt,de
949401119893217281,quatschmitei,Carola Q.,3,94,1,23,,de
1690634833,meikejaeger,Meike Jäger,122,1331,2,11,,de
921755268798611457,TravelinGeorgi4,Travel  in Georgia,11,110,3,0,Georgia,en
820977066346770432,HelgaWollring,Helga Wollring,20,231,120,229,,de
4105214117,jpmoreux,Jean-Philippe Moreux,182,121,103,122,"Paris, France",fr
897492667260702721,m_munke,Martin Munke,210,456,840,2071,"Dresden, Sachsen",de
1560690607,cfaed_TUD,cfaed | TU Dresden 🇪🇺,1026,1248,2056,9371,"Dresden, (Silicon) Saxony",de
65979900,SLANewYork,SLA-New York,2541,4965,10559,3653,"New York, NY",en
887024616476200960,MissBagman,Claudia Beutmann,12,63,1,242,,de
1617368510,stimmeheize,Steffen Heizereder,1209,2103,2419,661,,de
934350146,MuchosolDE,Muchosol DE,716,1132,4520,874,,de
821677846578036738,BrockhausNE,Brockhaus,262,402,415,339,"München, Bayern",de
354880191,Phil_Baty,Phil Baty,23807,2811,31060,8839,London,en
2517182396,G_Cuniberti,Giovanni Cuniberti,610,1095,568,724,"Dresden, Germany",en
