id,screen_name,name,followers_count,friends_count,statuses_count,favourites_count,location,lang
20529051,hobohm,H.-Chr. Hobohm,1676,1581,4347,2174,Potsdam,de
326671935,KatjaEdelmann,Katja Edelmann,241,698,755,90,Speyer/Rhein-Neckar,de
887000811833884672,karinpatzer,karinpatzer,65,69,4103,21024,"Berlin, Deutschland",de
734416636845907968,pffch,kaTse,0,253,0,335,,de
1036992161282236416,BFWZacharias1,B. F. W. Zacharias,93,1963,6,9,Switzerland,en
1878886411,DARIAHde,DARIAH-DE,3039,1517,2079,654,Deutschland,de
965578149152133120,TanneIris,Iris Tannhäuser,2,109,0,27,,de
942136539991199744,bibliothekswand,bibliothekswandelungen,78,1100,1035,9356,,de
2420853124,CharloSchroeer,Charlotte Schröer,26,136,371,479,,de
3235577213,RoteNina,Nina Rote,79,610,1107,2327,,de
20671215,elibbremen,SuUB Bremen,1916,1377,5063,1847,"Bremen, Germany",de
1032716757033738242,Andra65813904,__mariiii.ro__,317,4801,1,42,,en
25519153,engelken,Ute Engelkenmeier,636,613,1006,597,"Dortmund, Germany",de
1022127269853253632,JuergenNeeser1,_Juergen_Neeser,136,4934,0,0,,en
1006227337,HendrickseEDU,Mr. Hendrickse,1425,3018,1284,2839,Hong Kong,en
976458960806076417,barbara_heyden,Barbara Heyden,1443,4981,471,3365,"Munich, Bavaria",de
82861322,twittywiek,Wiebke Müller,35,123,22,7,"Hannover, Deutschland",de
1006984582674243584,CarinaD688,CarinaD,81,132,388,212,"Mannheim, Baden-Württemberg",de
394242337,RenateBehrens,Renate Behrens,149,97,533,531,"Frankfurt am Main, Deutschland",de
996326511702695936,Donna86221572,gaming,2,175,1479,0,"Berlin, Germany",en
2956407701,EjtnaMic,Antje Michel,484,552,2405,4692,"Potsdam, Brandenburg",de
758367855641591808,Nafetl,Stefan Dombek,14,58,64,130,,de
978245177184747520,didaktik_hsh,Didaktik_HsH,70,112,38,22,"Hannover, Deutschland",de
403489708,Nina_Ste,Ni Ste,22,93,47,193,Hamburg,de
1326196483,vericampus,VeriCampus,362,885,1118,24474,France,en
3315424078,nelli_iskam,nelli iskam,8,42,0,1,,de
14228857,keeswesterkamp,Kees Westerkamp,568,344,4390,160,Groningen NL / Stadthagen BRD,en
14158678,idmhanze,"Alumni BDA, BDI, IDM Hanzehogeschool",412,149,1036,42,Groningen,nl
744623558123458561,SandraMehrens,Sandra Mehrens,5,11,0,1,,de
942459317449580553,bobcatsss2019,BOBCATSSS 2019,519,4984,44,44,Kroatië,nl
1617368510,stimmeheize,Steffen Heizereder,1209,2103,2419,661,,de
944657243093590017,biddy_93,Dominic Funk,6,217,0,2,"Karlsruhe, Baden-Württemberg",de
20430497,webisblog,webis,888,464,2805,820,,de
89663825,BlessTheTeacher,Gerhard Bless,50828,55875,21110,359,Germany,en
935819629934542848,WZhukhovytskiy,Wladi Zhukhovytskiy,2,110,0,0,"Region Hannover, Niedersachsen",de
706158140715376640,tatiana_walther,Tatiana Walther,138,241,101,269,,de
59731996,hsh_bib,Bibliothek der HsH,1292,740,1807,109,"Hannover, Niedersachsen",de
779249429866053632,Bibozocker,Sebastian Wallwitz,20,32,59,94,,de
22807586,TIBHannover,TIB,3715,2106,6126,3768,"Hannover, Germany",de
822034168041340928,Bobcatsss2018,BOBCATSSS 2018,148,255,106,90,"Riga, Latvia",lv
3291184199,Buechersuse,Susanne Rase,7,46,0,79,,de
862234849406484480,im_hsh,im_hsh,110,148,366,219,"Hannover, Deutschland",de
22915766,fahrenkrog,Frau Fahrenkrog,1312,1368,16637,54327,Hamburg / Germany,de
207560114,AnkeWittich,Anke Wittich,219,233,478,125,,de
2832741125,BIBChatDE,BIBChatDE,1249,881,1201,5229,,de
2378828862,BIBWolf,Wolf Mußmann,93,157,915,1180,Hannover,de
822378634761486336,BIBB_liothek,FaMI,272,549,1692,2170,"Bonn, Deutschland",de
1701689858,Rheinlandfranke,Meik Schild-Steiniger,542,1579,3102,9245,"Bonn, Deutschland",de
97682506,anotherfami,OF,96,242,2160,5927,Hannover,de
786840833785991168,somebib,Carolin Helfmann,69,374,15,58,"Hochtaunuskreis, Hessen",de
52318344,husky92,Saskia Brauns,268,250,5401,2,"Göttingen, Germany",de
746758863576244224,BIBBinchen,Sabine Stummeyer,81,93,29,5,Hannover,de
26375737,andyklinge,andyklinge,328,761,610,0,"nrw, germany",de
27698303,katrinschuster,katrin schuster,410,385,603,542,,de
934766042,stadtbueduedorf,Stadtbüchereien Düsseldorf,2758,2913,6493,8061,Düsseldorf,de
837196735516717056,stbibpankow,Stb. Pankow,293,489,689,659,"Berlin, Deutschland",de
14734837,jplie,Juergen Plieninger,1613,1427,8640,1729,"stuttgart, germany",en
2586282041,elibtanja,Tanja Erdmenger,461,782,2365,4155,,de
3405382415,nafunda,nafunda,636,1201,6045,12324,,de
791108454,StpnLibrarian,Stephan Schwering,2143,3963,7373,11917,"Duesseldorf, Europe",de
523129293,MarkusHelberg,Markus Helberg,15,93,290,536,,de
1282591357,PiIsntPie,Jan Jäger,54,94,1521,578,"Wilhelmshaven, Deutschland",de
2319070044,bibliotheksnews,bibliotheksnews,1316,495,1175,276,,de
84296558,infoprax,Informationspraxis,1808,1731,899,383,Hamburg Chur Hannover etc. ...,de
851370636391964672,Karinborger_2,Karina Boringer,664,4994,387,284,,en
847791061401522176,weblab_hsh,WebLab HsH,85,149,130,102,"Hannover, Deutschland",en
27883670,hauschke,@hauschke,1221,2050,12066,5233,,de
3313660000,IG_WBS,IG WBS,312,384,2913,138,,de
5402272,011i,oliver kreimer.blog,1276,918,42975,23991,"Hameln, Germany",de
486614973,OCLC_DE,OCLC Deutschland,1175,1614,2589,1097,Deutschland,de
2897207157,CwStanzi,Constanze Wollersen,10,83,22,9,,de
362105864,exciting_edu,#excitingEDU,2930,1947,1110,1195,"Stuttgart, Berlin",de
1728049045,inablu,Ina Blümel,539,352,462,2082,"Hannover, Germany ",en
