id,screen_name,name,followers_count,friends_count,statuses_count,favourites_count,location,lang
886559897474797568,LangauGemeinde,Langau,4210,4472,449,10216,"Langau, Österreich",de
832777559918071808,misadeart1,misadeart,5,67,4,22,,zh-CN
5685642,franziskript,Franziska Bluhm,18137,2026,19340,13578,"Düsseldorf, Germany",de
1043989991653761024,imcelebrityinc,imCelebrity,195,679,19,40,"California, USA",en
1069588746117529601,ThuringenE,Museumsverband Thüringen e.V.,184,438,363,172,,en
954614844,_yavuzatalay,Yavuz Atalay,697231,756572,899,0,"Washington, DC",en
301371900,nishantoommen,♠Nishant  M Oommen,9127,9122,1698,5024,Banglore,en
4370404155,fuh_ub_ligephi,Literatur-zur-Literatur,188,743,493,280,"Hagen, Nordrhein-Westfalen",de
1064412006873264128,r_kollar,r.kollar,184,135,58,149,"Düsseldorf, Deutschland",de
997728964020965376,MarieeEiriksson,Marie E Eiriksson,411,805,452,5123,,da
619096178,shivguinn,Siobhán McGuinness,2249,4638,12160,8514,"Waterford, Ireland.",en
790150819005997056,netzpalaver,netzpalaver,1938,4360,13891,11774,"Bavaria, Germany",de
283663649,niedostadek,André Niedostadek,5215,3922,9789,15098,Impressum,de
15004456,comm_cationista,Katja Boehne,1214,1693,2070,1174,Frankfurt / Germany,en
4158518355,kluehsen,Arne Klüh,130,278,583,1166,,en
22216521,AskForLiz,Liz Evangelatos ツ,81010,80686,17123,15035,"Ukiah, CA",en
29212725,profitperclick,John McGarry,22317,20630,1796,1766,Where ever business is done.,en
20232684,martinlindner,Martin Lindner,4444,2287,78702,17058,"Lingen, Emsland",de
856523753479696385,Steffen_Drayss,Steffen Drayss,18,122,69,22,Rhein-Pfalz-Kreis,de
3144303022,MeetupDE,Meetup Deutschland,1736,1682,808,5149,"Berlin, Deutschland",de
1488013219,FSHornschild,Franz-Sebastian Hornschild 🇪🇺,2334,3714,240,491,"Erlangen, Deutschland",de
75285367,biebbean,Peter Bonekamp,153,232,348,173,,en
137286931,MarkJackson873,Mark Jackson,60855,60632,7932,8117,"Portsmouth, UK",en
3254656407,belden_trixi,Maria Kruse,449,1153,1722,2668,Deutschland,de
845343657016332288,Berlin_Plow,Berlin PLOW,1716,4875,997,27645,Internet,en
723552607,MatzeHagedorn,Matthias Hagedorn,1001,928,5422,0,Bad Mülheim,de
3234198576,EsriStartups,Esri Startup Program,10853,8008,1921,20984,California / Global,en
951015191826849792,mittelrheingold,mittelrheingold,48,94,177,133,,de
1024725588412715013,Kale052,Kale05,2,132,2,4,,de
1553287819,BieneMexi,NeanderTiere,456,245,622,4965,Neanderthal,de
979765554457333760,raymon_mueller,raymon müller,8,178,18,5,,de
538235661,pabesanneh,Abdoulie,331,2248,184,20,brikama,en
409598691,johannes_cgn,Johannes Gorzawski,1970,3033,361,0,"Köln, Deutschland",de
1011364908972363776,sen_denkt,Sen,31,304,31,105,"Koblenz, Deutschland",de
518435342,DerFrager,Der Frager,967,143,7271,2694,Hamburg,de
124853729,ZehKah,ZehKah,416,1295,5360,33427,Germany,de
2216881860,Rheinakrobat,Chris,316,501,4722,18098,,de
1056430285854781440,HeshamAlQassim6,Hesham Al Qassim,61,2076,8,47,United Arab Emirates,en
897817640080728065,an_dreaskern,Andreas Kern,1055,1019,225,302,,de
786594289,MareikePost,Mareike Post,92,773,106,156,"Munich, Bavaria",en
182463243,herrfranken,Robert Franken,6515,4208,29756,16592,Cologne,de
875015635570479104,AlmidanoA,Almidano Artifoni,2,40,41,124,,de
1665844195,op_a_nton,opanton,192,1730,4131,6908,,de
927160605999620096,RevoluxioLights,Revoluxio.com,189,2379,23,5927,,en
1058741595657461761,petersanneh45,petersanneh45,114,1665,3,41,,en
2161582903,lienhart85,Century Past History,25433,22936,52282,12304,United States,en
202084757,pametsarka,R,776,2456,21154,28768,Germany & Greece,de
2752698227,JohnNesfatis,John Nesfatis,34,287,7,871,,de
4783013363,Infokollektor,Infokollektor,623,4990,275,178,,en
63443502,wolfgangkauders,Wolfgang Kauders,702,1062,19689,18145,Wien,de
812815422,Mau_edw,Mau,220,757,1626,8637,In esilio all'estero,it
274018772,Witzgall_T,Thomas Witzgall,98,315,381,965,Jena,de
852436798013878272,Ericsson_GmbH,Ericsson Deutschland,746,1631,2069,1384,Deutschland,de
800749188145299456,BernhardSpelten,Bernhard Spelten,91,105,322,239,"Düsseldorf, Deutschland",de
113650486,monipi_bo,Monika Pieper,2479,2231,15102,8777,Germany / Bochum,de
36889519,RaminNasibov,RΛMIN NΛSIBOV,641014,638112,10951,1099888,"Berlin, Germany",en
2873383695,rbpsjo,Ruven Brandes,1274,4928,1389,2236,"Region Hannover, Niedersachsen",de
18946312,eufemia_pursche,Eufemia Pursche,582,1404,1221,1284,Rhein-Kreis Neuss,de
475938879,VossiH,Hubert Voßgröne,1,2,184,0,,de
3063940864,Bonndigital,Bonn.digital,2124,950,3152,1320,"Bonn, Deutschland",de
2283337766,ebru_sen82,Ebru Sen,550,1046,2066,2589,Ruhrpott,de
2409183176,artbrowser,Martin Hegel,81,341,476,213,Deutschland,de
18953169,matzomedia,matzomedia,58,152,10,24,Dortmund,de
95502314,netzwege,Stefan Balazs,922,745,26625,1205,"Düsseldorf, Deutschland",de
1008299985048305665,FaMI_Treffen,FaMI-Treffen Berlin,80,451,156,321,Berlin / Potsdam,de
3034293309,NicolaPeschke,nicola peschke,3094,2339,2350,3017,,de
2439947298,bloggerabc,Daniela Sprung,4395,1212,12575,18409,,de
894164021334638593,Sascha_Lippe,Sascha Lippe,1395,4278,2243,2452,"Hamminkeln, Deutschland",de
15316535,sozialpr,Christian Müller,4741,3592,39516,25707,"Hattingen, Deutschland",de
290460257,StephanScheuer,Stephan Scheuer,1348,801,2634,41,"Düsseldorf, Deutschland",de
