id,screen_name,name,followers_count,friends_count,statuses_count,favourites_count,location,lang
801368509053829120,TorhonenMaria,Maria Törhönen,99,213,89,65,Suomi,en-gb
2940919409,nekhayenko,Oleg Nekhayenko,10,22,3,11,"Hannover, Deutschland",de
19474935,ajmillion,A.J. Million,388,1134,2756,867,"Ann Arbor, MI",en
766932055389184001,Bibliothecarmen,Carmen Krause,245,347,336,675,"Berlin, Deutschland",de
1040653905951162370,josinarobb,Josina Robb,30,202,17,38,"Ottawa, Ontario",en
942993676837339136,Alex_yjwang55,YajieWANG,5,93,6,0,,zh-cn
359838444,Akbaritabar,Aliakbar Akbaritabar (Ali),1502,4082,4022,9408,World Citizen!,en
1078365600,ShenmengXu,Shenmeng Xu,169,285,224,356,,en
16320554,cmpn,Dale Coleman,1184,2216,2593,25538,TACOMA,en
19717244,BrunaLab,Emilio M. Bruna,3854,1097,19256,3481,Hecho en Cd. Juárez / El Chuco,en
462366624,Duhem_,Jochen Apel,744,2140,2636,2648,"Heidelberg, Germany",de
216303854,eomalea,Enrique Orduña Malea,1224,1387,3688,225,"Valencia, Spain",en
2708244178,kajafollowicz,Kaja J. Fietkiewicz,49,49,47,79,"Düsseldorf, Germany",de
922147588832415744,AskJMA,Johanna Askeridis,75,31,88,36,,de
222455632,KaiKoch,Kai Koch,56,177,460,169,"Düsseldorf, Germany",de
920967517903949825,michaelp7777,Michael,7,192,1,5,,de
929255460745699330,OkEli13,OkEli,0,1,5,0,,en
153161109,meier_flo,Florian Meier,238,288,2632,415,"København, Danmark",en-gb
38640246,alexkochanek,Alexander Kochanek,46,245,28,12,Düsseldorf,de
222511762,UO_ESIS,uOttawa ÉSIS,779,1098,2155,616,Ottawa,en
2176358690,was3210,Dr. Wasim Ahmed,10549,9011,14939,22704,Newcastle and Sheffield,en
353818023,WaleOni1,'Wale Oni,380,1139,1251,1248,Manchester,en
3084009339,VilarLawPA,"Vilar Law, PA",1236,4591,908,2,"Miami, FL",en
791220571849756672,julianhocker,j. Hocker,32,105,33,18,"Frankfurt am Main, Deutschland",de
577283256,MarieLRadford,"Marie Radford, Ph.D.",1024,1447,2684,3327,"Morristown, NJ",en
395493737,PhilippWeide,Philipp Weide,5,14,55,0,Düsseldorf,de
2497127443,stefan_gruen,Stefan Grün,18,107,1307,594,,de
938884123694895104,tim_hoelzen,Tim Hölzen,12,103,10,238,,de
928261231693258752,asist_sigsm,ASIS&T Social Media Special Interest Group,260,99,164,248,,en
2324567595,ian_doerr,Flø,27,233,58,895,,de
19795152,nareshag,Naresh Agarwal,520,1431,184,357,Boston,en
1637456210,KotsemirMaxim,Maxim Kotsemir,920,3939,1077,142,"Москва, Россия",ru
1103487896,MarthieMvn3,Marthie van Niekerk,209,1097,703,2555,"Stellenbosch, South Africa",en
259948877,hyrch,hy rch 🇪🇺,113,803,3559,3234,,de
863818250,chmesch,Christine Meschede,83,160,52,162,Düsseldorf,de
56038384,ijuliusGray,iJuliusGray,285,1483,421,259,,en
778325961112711169,WOrchidee,WeisseOrchidee,1,19,5,1,,ru
4134162749,MarinaGolovkin,Marina Golovkina,4,2,24,1,,ru
1902685188,magl0708,Ma Gl,171,2080,432,404,,de
152234867,michael_1x,Michael Einmal,9,120,1,0,,de
4842812835,elisole90,Elizabeth,13,128,44,27,Deutschland,en
