id,screen_name,name,followers_count,friends_count,statuses_count,favourites_count,location,lang
4074442697,annasamwel7,A. S. M.,286,611,2015,5424,,de
433667482,UWEPhilosophy,UWE Philosophy,1722,1045,620,193,"Bristol, United Kingdom",en
342894187,AnneBayefsky,Anne Bayefsky,207261,106837,589,0,New York,en
126025730,nuitblanchemag,Nuit blanche,1496,2143,4616,4558,Québec,fr
199032958,LaurentBonnaud,Laurent Bonnaud,754,4963,2002,516,"Brussels, Belgium",fr
1701689858,Rheinlandfranke,Meik Schild-Steiniger,541,1579,3104,9248,"Bonn, Deutschland",de
1001946161975119873,JugWiderstand,Jugendwiderstand Watch,682,512,25,158,"Berlin, Deutschland",en
811350392974012417,KeineAFD2017,Aufstehen-gegen-Rechts,5957,683,85028,52892,Zuhause,de
138043643,bibportal,bibliotheksportal.de,2921,603,4118,899,Berlin,de
902283782459457536,pearls_of_music,Pearls of Art Music,4014,4455,1075,80,,en
1029299532822179841,GZabos,Gerald Zabos,21,61,213,1243,"Frankfurt am Main, Deutschland",de
274782243,XakSullivan,זכריה | Sacharja,41016,44764,20616,6829,אלבמה - ... או על הבמה? חח ...,en
1066070810354421760,Kristia76396389,Kristian,2,11,7,37,jap,en
835227554650996736,LepageCtr,Lepage Center,1405,4994,1017,1654,"Pennsylvania, USA",en
1052182336522133504,modougilsey,modougilsey,970,5000,9,862,,en
3114902230,TanzaniaNetwork,Tanzania-Network.de,410,130,2038,6673,"Kameruner Straße 1, Berlin",de
2229935731,drsaraharens,Sarah Arens,1064,1766,3114,3589,"Edinburgh via Algiers, Berlin, Paris",en-gb
1023957773048934401,ehsanul_deaf,Ehsanul Deaf,265,4966,27,23,"Dhaka, Bangladesh",en
283493982,rubenmcloop,max czollek,3452,3132,684,1403,Berlin,de
242914892,KISCHOLO,Kiswar Paljor Castro Kreft,310,4997,70,1543,"Ingolstadt, Bayern.",es
997728964020965376,MarieeEiriksson,Marie E Eiriksson,556,974,778,7695,,da
965223859090796544,LiteraryVienna,LiteraryVienna,1696,996,1787,333,"Vienna, Austria",en
1035495816457273344,GDeclerq,Gregory Declerq,692,3725,341,291,Sint Truiden,en
201180072,kribibi,kribibi,81,74,199,93,Österreich,en
346616012,smeschmesch,Stefan Mesch,4596,4896,18230,16100,"Heidelberg, Hildesheim (Kreatives Schreiben), Toronto. seit 2014 meist Berlin.",en
1027219082796519425,laminsanneh7373,lamin lampa,74,690,4,9,,en
859905880606691330,reykevster,Kevin Reynolds,496,1092,7705,6348,"Hayward, CA",en
2966566126,UDCommonwealth,UDC,333,524,2469,1133,"Kingman Reef, U.S. MOI",en
2895951606,HealingMB,Mindfulness Wellness,346691,255531,204829,172955,Canada 🇨🇦 Usa 🇺🇸,en
15303630,CopywithHeart,Lisa Clark,32701,16051,71185,407,"Sayreville, NJ",en
3061998681,theresaflinny60,Theresa Flinn,3,14,15,5,,en
126617387,dielindada,linda freyberg,272,584,356,474,Berlin,de
699934136580988929,hackspiritorg,Hack Spirit,22041,14239,19124,2593,"Melbourne, Australia",en
2790900206,WindowsOpening,Opening Poet Minds,568,1528,119,127,Hills Outside San Francisco,en
81920860,alaeditions,ALA Editions | Neal-Schuman,2140,237,3767,96,"Chicago, IL",en
2260373173,mindyourbr,Mind Your Brain,107192,95074,30022,9104,L.A,en
775360595667320832,openlibbadge,Open Library Badge,194,263,65,64,,de
1690634833,meikejaeger,Meike Jäger,122,1331,2,11,,de
222465748,oya_zeitschrift,Oya Zeitschrift,1110,1182,1508,523,Klein Jasedow,de
795970028164235265,zbiwthkoeln,ZBIW.,277,484,191,267,"Köln, Deutschland",de
303303527,saraiodonnell,Sara,242,1230,309,257,,en
4207433120,secure_single,Secure Single,5241,3931,14157,3415,"Denver, CO",en
43406353,tophat,Top Hat,12871,12720,7399,2130,"Toronto, Ontario",en
16547087,AaronMSanchez,Aaron M. Sanchez,147836,90072,63715,18373,"Los Angeles, CA",en
33320088,ccabezas,Cristian Cabezas,987,1655,9559,1918,Chile,es
