id,screen_name,name,followers_count,friends_count,statuses_count,favourites_count,location,lang
966975029593468928,WesleyHowardW,Wesley Howard,683,4411,88,115,"Atlanta, GA",en
3918168803,Henrik_Geyer,Henrik Geyer,1021,2269,11818,1,"Berlin, Deutschland",de
16561292,nicoleschu,Nicole Convery,1020,1051,9874,1398,Swindon,en
3346572796,jzed_trees,julianna zdunich,553,3032,7144,22178,"Berlin, Germany",en
756574080887914496,FPit69,Frank Pitter,3,34,0,4,,de
724145788947955712,pointeseche,Thomas D.,3,27,3,33,,de
1544079588,pinselstriche1,Katrin Unger,168,735,507,653,,de
1002156058662535168,DigRights,Digital Rights Management,1644,2582,103,211,"Cologne, Germany",en
744791611331117056,j_stuebe,Julia Stübe,13,53,12,18,,en
914760974514704384,jan_oellrich,Jan Oellrich,20,253,5,31,"Hamburg, Deutschland",de
221777076,negromujica,Ignacio Mujica Alvarado,144,2124,453,98,Alemania,de
2510876721,DenkstePuppe,Cogita,0,216,0,0,Europa,de
1076997547128954887,Alessan13453961,Alessandro Matteo,49,565,10,8,Milan ,en
75040203,StadtmuseumRHWD,Stadtmuseum Rheda-Wiedenbrück,1469,452,30,89,Rheda-Wiedenbrück,de
612861805,FaenaAleph,Faena Aleph,14703,4000,32085,11128,,en
405696853,museologia_rggu,museologia_rggu,1462,519,851,565,Москва,ru
76316055,mjkls,Leander Seige,313,427,282,750,"Leipzig, Germany",en
2678009486,Mr_Yunus_,Yunus Tezcan,228,2444,2694,9967,"Istanbul, Türkei",de
948176982998749184,digitalkndrgrtn,Digital Kindergarten,431,171,579,556,"Hamburg, Deutschland",de
194145842,susannaanas,Susanna Ånäs,765,1401,873,803,Helsinki,fi
63149326,Kunstsammlungen,Kunstsammlungen Chemnitz,3388,1423,1742,1063,"Chemnitz, Germany",de
1073605175670173701,ElisabethTietm1,Elisabeth Tietmeyer,10,8,2,4,Berlin,en
2964695781,MaikeSchiller,Maike Schiller,78,379,156,261,"Hamburg, Deutschland",de
52991635,M_Gasser,Michael Gasser,209,131,261,716,Zuerich,en
21281972,szehle,Soenke Zehle,277,1918,1208,760,,de
750286186392977409,ACDH_OeAW,ACDH,1561,1495,3538,3779,"Wien, Österreich",de
1070822701621829632,Roberto87286336,Roberto  Q,290,4977,9,1,Lazio,en
548478646,LeneFloris,Lene Floris,679,1117,862,1174,Copenhagen,da
236325554,lalle1887,Lars,18,492,64,152,,de
16486550,ReemWeda,Reem Weda,257,352,3016,1941,Den Haag,nl
1011517556526592000,Maria_Paschali_,Maria Paschali,20,213,11,41,Cyprus,en
36889519,RaminNasibov,RΛMIN NΛSIBOV,686754,649287,10986,1096372,"Berlin, Germany",en
1068233963565735936,AppArtific,artific.app,63,366,43,44,,en
373364901,mariana_ziku,Mariana Ziku,618,768,499,2529,"Leuven, België",el
1477944774,RoryInLA,Aurora Raimondi Cominesi,1026,1105,1479,1271,"Nimega, Paesi Bassi",en
14050763,susanhazan,Susan Hazan,311,183,808,141,Jerusalem,en
56073298,frankfurtporto,FP,51,1446,550,65,,en
53408652,EUROCLIO,EUROCLIO,1286,239,1147,106,Europe,en
1069874733414535168,SilkeKrohn,Silke Krohn,75,120,38,41,Berlin,en
53045653,TamyBu,Tamara Butigan,295,676,840,3802,"Belgrade City, Republic of Serbia",en
2557197034,majadrabczyk,Maja Drabczyk,230,415,269,705,,en
20097088,nadjatalent,Nadja Bauer,1414,1639,6096,1121,Berlin,en
1227807012,KA_DUS,Kordula Attermeyer,619,1316,1722,3823,"Düsseldorf, Deutschland",de
937429828264976384,forumkuve,Forum Kultur Vermittlung,449,538,718,1698,"Wien, Österreich",de
2875807890,henne1986,Dominic H.,20,72,141,20,"Lennestadt, Deutschland",de
37949399,schassan,Torsten Schaßan,311,380,127,83,Tehran,en
1025819978023546882,Martha_I_Ro,Martha Rosenkötter,52,142,166,396,"Hessen, Deutschland",de
1047786536161497088,dmdmuc,DMD München,126,107,222,308,"Munich, Germany",en
214436997,katpdow,Killian Downing,472,1451,1178,3601,"Dublin, Ireland",en
933555629750407169,CondeIdalina,Idalina Conde,278,675,7118,1964,"Lisboa, Portugal",pt
