id,screen_name,name,followers_count,friends_count,statuses_count,favourites_count,location,lang
1708295322,amandasweet80,Amanda Sweet,62,449,454,1614,,en
1068645171078799360,BabellGraveyard,Babell Graveyard,83,431,45,65,"Cwmbwrla, Swansea SA5 8BL",en
1034410351511654401,deine_dna,deine-dna.de,37,1248,2,0,Deutschland,de
1055181917686059009,Planning_eMag,Carmarthenshire Planning Handbook,1028,4996,242,61,"Carmarthen, Wales",en
1055690440563941376,aberfassri,@AberFASSRI,136,375,450,985,Aberystwyth,en
4821759100,joeaber16,Joe Smith,83,283,1027,16,,en-GB
3281181511,Wikicite,WikiCite,3008,3002,2875,2624,"Berkeley, CA",en
2619884172,writeaguide,writeaguide,1071,3594,274,225,"Berlin, Deutschland",de
776029576896077824,humanities_chi,Chi Uni Humanities,1041,4285,5061,3565,"Chichester, England",en
1518765246,KnotweedJo,Knotweed Control Swansea Limited,1232,3002,3141,1947,Swansea & south Wales,en
828738892350291969,webmonks_vision,WebMonks,168,3901,21,87,"Hasselt, Bélgica",en
437660451,martenduering,Marten Düring,962,1275,2384,926,,en
412154216,Preservica,Preservica,1632,4364,2671,1453,Worldwide,en
960526308156624902,megryder93,Meg Ryder,126,669,82,470,"Wales, United Kingdom",en
15210670,SinghLions,Harjinder Singh Kukreja,1665563,1589387,28962,24365,"Ludhiana, Punjab, India",en
951873073447407616,AuthorShqerra,Endri Shqerra,282,4955,27,2,UK,en
719687574428782592,tainacan_l3p,Tainacan,177,1740,58,60,"Goiânia, Brasil",pt
1011699356,PIELexicon,Proto-Indo-European Lexicon,5212,5169,10969,5241,University of Helsinki,en
311903881,DIGHUMLAB,DIGHUMLAB,400,464,429,14,Denmark,en
83770590,springsteen1949,Springsteen bot,1432,693,31480,15,Japan,ja
935669126,Tynllidiart1,Tynllidiart Arms,592,4749,88,27,"Aberystwyth, UK",en
53401577,etaylorengineer,Emma,668,4113,423,265,United Kingdom,en
913127997653254144,flanders_wales,Flanders Wales,61,304,68,91,"Cardiff, Wales",en
905052999898324993,Cymru_Cuba,Cymru Cuba (Gogledd)🏴󠁧󠁢󠁷󠁬󠁳󠁿🇨🇺,808,4557,141,61,Gogledd Cymru / North Wales,en
626736821,iamjordanUK,Jordan Ratcliffe,425,621,348,458,London & Leeds,en
900736307835613184,Fostering_Minds,Fostering Minds Edu,583,3465,82,123,Wales,en
4008445576,DHiNorden,DH i Norden,483,632,230,279,,en
881760492250832896,tinker_ideas,Tinker,146,1667,122,69,"London, England",en
2776117148,stefandumont,Stefan Dumont,582,502,2027,697,"Berlin, Deutschland",de
