id,screen_name,name,followers_count,friends_count,statuses_count,favourites_count,location,lang
958677809010003968,Axiell_DACH,Axiell Deutschland,94,281,255,207,"Mülheim, Deutschland",de
1685888563,OpenJournalSys,OpenJournalSystems.com,23953,25889,368,57,"Phoenix, Arizona, USA",en
1075451017574146054,eine_frau_,va bib,16,468,37,42,,de
1318343166,kroko040,GM,278,1418,2662,8076,,de
877616433609318400,OpenScienceMOOC,Open Science MOOC,4674,4245,2488,4671,"Berlin, Germany",en
2763367353,KatBlack42,Kat 🌈,49,977,238,39243,Geilenkirchen,en
967537372987617280,IncubatorBay,Incubator Bay,1858,4613,3356,731,,de
730612216588869633,hoeperan,Andrea Höper,5,81,81,250,,de
1068230484134629376,5q5adigital,#5Q5ADigital,86,105,126,172,,en
1069417031798349825,Hillary34976787,Hillary Coleman,237,1717,31,90,,en
1058258108433100800,medien_online,MedienOnlinePHBern,2,8,17,6,Bern,de
777170826114269185,O_O_The_Box,Out Of The Box,12842,8065,6873,554,"New York, USA",en
859676523414118403,oerworldmap_de,OER World Map DE,440,416,629,811,"Köln, Deutschland",de
1064852034514550784,Squarelet_org,squarelet_org,70,54,12,7,,en
2231971555,Cliff_Bu,Cliff Buschhart,48,191,169,1362,,de
2862400192,CitrusricusDe,G Bas,5570,6117,4115,3218,Valencia,es
2288525410,hsluex,Monika Wyss,76,123,120,74,"Lucerne, Switzerland",de
891708366212538368,TheisDominik,Dominik Theis,127,782,215,403,"Berlin, Deutschland",de
1311520442,panopen,panOpen,733,688,2127,2050,New York City,en
1958486605,computermaler,Tim Themann,421,837,2646,3856,Hamburg/irgendwo in NRW/Groß Wittensee,de
4724027417,c4haas,Corinna Haas,31,82,156,256,"Berlin, Germany",en
1056928637591715842,elisaalbaadani,Elisa Al-Baadani,11,38,13,39,"Leipzig, Deutschland",de
774182833552101379,FoBiD18,Forschungsinstitut Bildung Digital,460,521,177,111,Universität des Saarlandes,de
864358471289810945,axel_klinger,Axel Klinger,31,79,6,10,"Hannover, Niedersachsen",de
2361254377,LFSBayern,LandesfachstelleBay,516,161,3332,239,München,de
875484272613785600,DrunkestLibrary,Drunkest Librarian,7686,3957,25200,32303,,en
112371571,phluzern,PH Luzern,1349,493,1461,262,Luzern,de
1200822169,LaNaBiBe,LaNaBiBe,9,58,129,0,Berlin,de
905865525074518016,ZirwesO,Oliver Zirwes,345,487,274,1106,,de
870728175025868801,bibliothekatrin,Katrin Kabitzke,71,149,92,785,"Bremen, Deutschland",de
1050321726821818368,JasonBrent19,Jason Brent,354,3070,5,2,"Ontario, CA",en
4802556376,maritagrabowski,MaritaGrabowski,777,4820,157,140,"Augsburg, Bayern",de
1050074318456152064,22_LLH,Leipziger Literarischer Herbst,155,681,236,205,"Leipzig, Germany",de
202077042,mgrosshardt,mgrosshardt,27,112,12,32,,de
1010674705500647424,bitsundbaeume,bitsundbäume,1547,538,1021,1684,TU Berlin,de
1003953002074529797,dghd2019,Jahrestagung dghd19,242,946,137,102,"Leipzig, Deutschland",de
941428914672603142,thevisualcoach,C. Eybisch-Klimpel,126,298,130,247,"Berlin, Deutschland",de
3391819486,joanhinterauer,Joan Hinterauer,465,974,765,552,"Lochen, Österreich",de
292274566,HRSelect,HR Performance,1647,1748,932,1122,Frechen-Königsdorf bei Köln,de
90942783,BVollers,Björn Vollers,43,300,45,269,"Duderstadt, Deutschland",en
2888014120,TeacherTokaryk,Jana Tokaryk,186,268,599,1406,"Berlin, Germany",en
14281657,gibro,Guido Brombach,3637,1393,17169,1203,Essen,de
1186261076,VCRPNews,News des VCRP,223,230,391,311,Rheinland-Pfalz,de
1042372540239241216,blockchainsteps,#steps18,169,1110,100,58,"Berlin, Germany",en
1042162022358700032,Ausleihtheke,Angry_Fami,59,171,13,2,,de
12220,cervus,Basti Hirsch ッ,3330,1319,24654,58746,"Hamburg/Berlin, Germany",en
2905803236,IPEVO_DE,IPEVO DE,333,2121,172,1400,,en
1002147538655473665,DigLeadership,Digital Leadership,2527,2608,1594,215,"Bonn, Germany",en
