id,screen_name,name,followers_count,friends_count,statuses_count,favourites_count,location,lang
3355817980,IsmaeelRaheem,ismaeel Raheem,6,50,7,3,,en
81305054,UlrichJvV,Ulrich Janse van Vuuren,966328,699930,15222,293958,"Johannesburg, South Africa",en
36889519,RaminNasibov,RΛMIN NΛSIBOV,680628,622646,10983,1096739,"Berlin, Germany",en
44395493,connollyberlin,Kate Connolly,6038,827,4524,226,Berlin,en
2497209325,Luxepaths,💻 📷 Kurt W ✈ 🍷,121571,105340,27153,2263,"Oregon, USA",en
1041436975503495169,MEgypttravel3,Egypt Travel Packages,62,747,1016,1,,en
526523749,24hTheater,24h Theater Berlin,448,579,2585,375,Berlin,de
35690642,HSClassic,Anna Sutyagina,128,151,133,19,Munich,en
2386321551,Fredminton8,a fred,89,592,914,5677,,en
1162604978,thildiii,mathilde,28,117,105,810,,de
947160429842849792,sannefisch,Sannefisch,3,11,0,5,,en
917837054603612161,architectsiya,AIYA.com,619,5002,38,16,,en
934494133669986309,WellbaumMichael,Michael Wellbaum,5,111,0,0,,en
925677281061883904,Martin98440442,Martin,4,100,2,3,"Potsdam, Deutschland",de
914861006760837120,eric_pufpaff,Eric,6,241,0,1,"Schleswig-Holstein, Deutschland",de
28374811,madehmlow,Mark Dehmlow,43,93,8,0,"South Bend, Indiana, USA",en
2390683054,EllenEuler,Q55222800,2698,1782,2922,8556,Berlin,de
868839876204138498,Peter1481959,Peter 11,3,88,0,0,,de
749355519979057152,MarekJasiczek,Marek Jasiczek,1520,4451,15995,14502,"Calgary, Alberta",en
20529051,hobohm,H.-Chr. Hobohm,1673,1583,4347,2174,Potsdam,de
3306920621,ohne_zucker1,Ln Bz,25,258,31,115,Berlin,de
79025322,MattReinholz,Matthias Reinholz,10059,8610,2634,759,"Berlin, Germany",de
836019293615632384,kissmysaddle,KissMySaddle,822,3762,150,8,"Hollywood, Los Angeles",en
2835957325,ajhham,Allan J. Hamilton,790,975,619,315,"Arizona, USA",en
3133067047,weisseschatten,adèle,13,262,256,2085,"Bayern, Deutschland",de
1712430325,seelenforscher,Paul Goodman Gestalt,608,3003,9121,12237,Bayern,de
1623253405,GabydosSantos8,Gaby dos Santos,1297,1298,930,706,"München, Bayern",de
760051,codeeater,Jörg Müller,181,215,7241,26384,"Munich, Germany",en
807938093739282432,ImmerLesen,Immer Lesen,1319,842,582,3164,"Heidelberg, Deutschland",de
2454230449,MaldiveOffers,Maldives Holiday,65,278,25,0,"Ma. Rangiri, 03rd Floor",en
2995599473,TheaterMuenchen,Theater in München,675,623,238,23,München,de
789337284260671488,ineludibility,😈,234,954,28,7,"Sao Paulo, Brazil",en
784746618339921920,fischersfru17,Fischers Fru,33,326,15,12,"Berlin, Deutschland",de
781023980291588096,Alva0003,Alva,1,16,0,0,"München, Bayern",de
775333162369093632,zeljana_1992,Zeljana,2,29,0,0,,de
3136301806,DreiMuehlen,Drei Mühlen,15,35,9,5,Reifenstuelstrasse 1 80469 München,de
772367577859391488,Roland_Trescher,Roland Trescher,67,134,52,18,"Berlin, Deutschland",de
770239587939651584,httpjoey1,JOEY,183,2847,2,0,,fr
2561517161,galaxie499,Jens V,14,92,659,739,,de
14773802,kruestig,Kathrin Ruestig,66,136,189,156,"Berlin, Deutschland",de
75067369,OomenBerlin,Matthias Oomen 🇪🇺🏳️‍🌈,77915,68233,88065,88128,"Berlin, Deutschland",de
