id,screen_name,name,followers_count,friends_count,statuses_count,favourites_count,location,lang
786594289,MareikePost,Mareike Post,92,766,106,151,"Munich, Bavaria",en
955934976050155523,KauhsCarola,Carola Kauhs,8,9,4,9,,de
998815838676406272,PHibliothek,Bibliothek der PH Vorarlberg,17,133,42,17,,de
1239687152,FnEndemann,Fabian Endemann,62,531,83,242,"Hamburg, Deutschland",de
970596409975156737,fdmhildesheim,FDM Hildesheim,418,679,7075,6080,"Hildesheim, Germany",en
166509521,aatvos,Aat Vos,449,321,299,500,The Netherlands,en
3030374453,bibliothek_gyha,Gyha Bibliothek,9,249,1,20,,de
40439108,AmNordpark,Silke,16,108,284,182,Germany,de
3420616049,SpengerM,Martin Spenger,126,388,18,17,"München, Bayern",de
1665844195,op_a_nton,opanton,171,1577,3719,6496,,de
114424411,mattistoehr,Matti Stöhr,318,147,904,627,"Dresden, Sachsen",de
1056928637591715842,elisaalbaadani,Elisa Al-Baadani,13,39,13,36,"Leipzig, Deutschland",de
94649489,ninatoller,Nina Toller,2802,994,8646,15279,"NRW, Germany",en
1685888563,OpenJournalSys,OpenJournalSystems.com,24069,26029,368,57,"Phoenix, Arizona, USA",en
950847647828598784,Sunrise68237340,Sunrise,0,2028,0,690,,en
95870462,stbspringe,StB Springe,401,333,1196,19,"Springe, Germany",de
211237746,SAGEsociology,SAGE Sociology,37669,13639,17404,1448,,en
1947353498,AndreasKreuser,Andreas Kreuser,9,49,0,0,,de
24061271,djdekan,Ralf Kleinfeld,7,5,0,0,,en
1040503206156152832,KatharinaLehne8,Katharina Lehner,6,115,2,24,"Bayreuth, Bayern",en
842660156571881472,KatrinHeidt,Katrin Heidt,1,8,0,1,,de
1041713758148542465,MGuntskidze,Mzia Guntskidze,0,40,6,0,,en
1006477398345486338,Yvonne80063110,Yvonne77,3,25,3,42,,en
14606015,mischpoCHE_,Claas H.,229,1414,4891,2141,Lüneburg,de
3573714496,H_Senst,Henriette Senst,145,237,790,493,,de
173545831,HariBrull,Haridian Montañez,126,438,705,481,Leuven,es
1031055356888145920,pubreform,Publishing Reform Forum,964,4997,530,937,,en
383265737,angua72,angua72,57,265,440,771,Paderborn,de
2619884172,writeaguide,writeaguide,1067,3599,274,227,"Berlin, Deutschland",de
935622005998616576,fraudauer,Gemischtwörterladen,235,293,4405,33945,220 m ü. NHN,de
973173305657225216,bibliosuisse,Bibliosuisse,204,108,24,23,"Aarau, Schweiz",de
264095387,KMenencke,Katrin Menencke,10,76,32,53,,de
