id,screen_name,name,followers_count,friends_count,statuses_count,favourites_count,location,lang
27875662,embedded_comp,Embedded Computing,18569,20419,7686,2931,"Scottsdale, AZ",en
481548003,OmegaWiki,OmegaWiki,228,626,865,112,Earth,en
1080773610049032193,DiniAgKim,DINI AG KIM,80,62,6,0,Germany,de
1561182734,farandwidepub,thomas,24010,24830,1136,0,,en
80784806,ThomasKnorra,Thomas Knorra,12400,12670,130585,116444,BRD,de
90937266,kspurgin,Kristina Spurgin,165,149,1204,1027,,en
3740407036,BastianDrees,Bastian Drees,250,395,822,1161,,de
64245814,sethvanhooland,Seth van Hooland,1239,600,1499,290,Brussels,en
877616433609318400,OpenScienceMOOC,Open Science MOOC,4698,4247,2499,4674,"Berlin, Germany",en
1025819978023546882,Martha_I_Ro,Martha Rosenkötter,52,142,166,395,"Hessen, Deutschland",de
1070541425295745024,sub2pewdiepie3,sub2pewdiepie,56,1416,9,4,United Kingdom,en
299186512,Dodis,Dodis,1528,1151,1925,656,"Bern, Switzerland",de
8917662,Haraag,Harriet Aagaard,714,425,2674,51,Stockholm,en
1039854112022700032,mak_silent,SilentMAK,1,36,0,1,,de
586609727,docgrid,Angela Kailus,72,189,33,123,"Marburg, Deutschland",de
435044143,aurelienCharot,Aurélien Charot,9,28,0,1,,fr
970596409975156737,fdmhildesheim,FDM Hildesheim,450,798,7862,6589,"Hildesheim, Germany",en
1069125444165869569,Liliab35044029,Liliab,8,31,7,6,"Mombasa, Kenya",en
14165740,bobdc,Bob DuCharme,2261,193,3730,390,"Charlottesville, Virginia",en
2318700524,heald_j,J. Heald,145,413,3495,2769,,en
382404191,julsraemy,Julien A. Raemy,493,486,3140,2757,"Geneva, Switzerland",en
791220571849756672,julianhocker,j. Hocker,32,105,33,18,"Frankfurt am Main, Deutschland",de
176920987,b3d2c,B2C,155,417,1570,373,,fr
3705344055,jsamwrites,John Samuel 🏳️‍🌈,322,353,1856,9574,Multiverse,en
498169912,Fernsebner,C. Fernsebner Eslao,698,2104,5162,11880,"Cambridge, Massachusetts.",en
1065706632330600455,Anabell96524217,Anabella,3,50,7,3,,en
23568476,Ettore_Rizza,Ettore Rizza,4796,3191,5691,3517,"Bruxelles, Belgique",fr
145806397,bibliocopy,BiblioCopy GmbH,1035,2667,2781,4278,Berlin,de
14979220,bbober,Benjamin Bober,618,606,6619,1206,Montpellier,fr
840612089626468353,i4oc_org,I4OC,2889,2990,646,1254,,en
126615639,bmwiernik,Brenton Wiernik 🏳️‍🌈,581,314,6210,31958,,en
2910644884,csarasuagar,Cristina Sarasua,509,830,1342,1805,"Zurich, Switzerland",en
1040262518793555968,gndnet,Gemeinsame Normdatei,519,102,261,404,Germany,de
4657921275,majapelling,Maja Pelling,102,358,156,289,,sv
114424411,mattistoehr,Matti Stöhr,323,147,904,627,"Dresden, Sachsen",de
726283624681713665,DDechandon,Denis Dechandon,99,118,132,111,Luxembourg,fr
135076044,enigmaticocean,Daniel Bangert,914,2217,1587,2392,"Göttingen, Germany",en
223922112,elfpavlik,elf Pavlik,2136,2638,2764,1036,"Tepoztlán, Mesoamerica",en
1673888166,larswillighagen,Lars Willighagen,73,162,789,1833,Nederland,nl
906024129429516288,testefixe,Testefixe,29,237,205,347,,fr
943964902762405888,cdvrheinmain,Coding da Vinci Rhein-Main,416,586,719,746,Rhein-Main,en
55547770,johave,Access2Perspectives,799,1428,3500,1556,Berlin + Nairobi,en
67157239,kategenevieve,katharine vega,1549,1252,1749,1632,ecosphere,en
76887049,timovt,Timo van Treeck,1685,2299,25119,11056,Düsseldorf / Köln,de
45411436,XYOU,Malte Seagull 🚀,60,496,445,365,"Berlin, Germany",en
1042738815528591361,doertheschulz,Dörthe Schulz,8,36,3,29,Wilhelmshaven,de
3437970292,flxsrbr,Felix Saurbier,206,324,254,380,"Hannover, Deutschland",de
248140844,Drachenhamster,Katja Rother,13,79,6,121,,de
852475018500067328,FedericaFantone,Federica Fantone,181,622,306,290,The Netherlands,en
87918274,pointlesssum,pointlesssum,33,418,160,29,,de
53112612,123top10,Juergen R. Bolz,516412,208190,6125,1106,"Edemissen, Niedersachsen",en
16016538,UrsaBerlin,Christof Rodejohann,762,1140,9763,6874,Zwischen Berlin & Dresden,de
21017494,ThadMcIlroy,Thad McIlroy,1310,517,7853,21,San Francisco,en
712470974650851328,jutosla,Juto,2,200,3,12,,de
39279413,tistre,Tim Strehle,1071,1462,5224,5976,"Hamburg, Germany",de
2785367814,DFaehle,Daniel Fähle,649,1305,841,3842,Mannheim,de
824627061478322176,eu_graph,euBusinessGraph,175,292,211,418,Europa,de
180360582,kulturstiftung,Kulturstiftung,6171,3529,2139,2344,Halle an der Saale,de
255911932,andreaswalker,Andreas Walker,481,1800,2446,780,,de
202084757,pametsarka,R,775,2601,21325,29043,Germany & Greece,de
957389346566561792,evgenij12138196,evgenij,948,3258,296,249,,de
4114338448,zalf_leibniz,ZALF,1457,3079,520,402,"Müncheberg, Deutschland",de
44569878,PlickertHolger,Holger Plickert,231,865,755,1592,"Berlin, Deutschland",en
986248214,PolicyR,InternetPolicyReview,4694,5121,2679,256,"Berlin, Europe",en
512388879,friedelitis,Christian Friedrich,1453,1632,5010,6482,Hamburg & Berlin,en
551194511,leslie_kuo,Leslie Kuo,1439,1012,11486,21637,"Berlin, Germany",en
975843092061392897,JuergenKett,Jürgen Kett,101,95,6,13,"Frankfurt am Main, Deutschland",de
843591000,zlb_digital,Digitale Landesbibliothek Berlin | ZLB,899,755,1667,1404,"Berlin, Germany",de
3086368707,mylibrARy_FHP,mylibrARy,132,207,234,86,Potsdam,de
1318588657,MoMoostafa,Mohamad Mostafa,707,4767,425,799,"Dubai, UAE",en
274944090,phivk,Philo 🚐 Kemenade,1607,2911,5627,1970,🇪🇺 Europe,en
17777943,rebamex,rebecca kahn,696,839,1367,619,,en
10161492,frederickaplan,Frederic Kaplan,5853,3022,3798,56,Lausanne,en
109325729,JolanWuyts,Jolan Wuyts,272,199,235,247,Belgium,en
8814092,figoblog,Emmanuelle Bermes,3379,356,5423,731,Paris,fr
1227830444,PSoemers,Peter Soemers,2355,3424,34312,22620,"The Hague, Netherlands",nl
16511554,vrandezo,Denny Vrandečić,1946,228,3243,2381,"San Francisco, CA",en
716213,jt14den,Tim Dennis,678,1718,2393,1980,"Los Angeles, CA",en
