id,screen_name,name,followers_count,friends_count,statuses_count,favourites_count,location,lang
115445320,Wurfschuh,Der Wurfschuh,110279,76104,5229,18380,"Mein Buch ""M. Uab"" gibt's da:",de
2228448595,TitusLearning,Titus Learning,2009,1598,2309,621,"Leeds, UK",en-gb
833394834937253888,pelotonRPM,pelotonRPM,424,2606,308,1303,"Los Angeles, CA",en
800055346979110913,yvonnegoers,Yvonne Görs,34,53,82,48,,de
837329075274403845,SchweitzerAcad,Schweitzer Academic,195,458,1275,1182,"Berlin, Germany",en
1354528135,Easy4Publish,Easy4Publish,316,1695,126,4,Hoofddorp,nl
3079655279,rudinuss,🕳,112,233,437,2595,"Berlin, Deutschland",de
718063862264758272,deuqua,DEUQUA,119,109,132,18,,de
26721569,viokeka,Violeta Trkulja,104,191,129,83,"Berlin, Germany",en
3748376603,Ostverteiler,Ostverteiler,757,4876,700,68,,en
4714004213,AlmaExLibris,AlmaExLibris,104,1152,217,0,,de
1031109451,LiteraturFrey,Peter Georgas-Frey,1561,1569,8351,4952,www.literaturfrey.com ,de
107416157,StuPaGreifswald,Präsidium StuPa,234,60,99,1,"Greifswald, Germany",de
2842191393,Sotano_HGW,Sótano,31,24,78,1,Greifswald,de
3053563754,FrauHelbig,Kerstin Helbig,515,562,3084,1239,,de
552786926,PerspektiveBib,PerspektiveBib,439,79,230,64,,de
3444364992,digitalshiftppc,Digital Shift®,374,1743,436,15,"Calgary, Alberta",en
437591452,irynakuchma,Iryna Kuchma,5372,5883,9281,9854,,en
224631899,figshare,figshare,35284,34344,21745,8278,London,en
74946653,UpsideLearning,Upside Learning,12543,10291,24844,43,India,en
3021650670,flatsignedUK,timmymiller,50,826,15,0,"Nashville, TN USA",en
2920535791,eprinttools,eprinttools,212,1933,29,20,,en
19020949,ETHBibliothek,ETH-Bibliothek,3272,579,3446,1291,"Zurich, Switzerland",en
2279009210,oliverkochnet,oliverkoch.net,183,550,2229,1562,Karlsruhe,de
2319070044,bibliotheksnews,bibliotheksnews,1316,495,1175,276,,de
71497146,matze0612,Mathias,71,326,368,122,Berlin,de
2789056584,pramodepub,pramod technologies,7,224,0,0,,en
38842007,FStreng,Friedrich Streng,822,2222,11019,2822,Germany,de
2591829877,TheDanielUk,Danielle Eubanks,916,1792,21733,2381,London,en
221720654,ZMI_Transfer,ZMI-Transfer,199,680,324,350,Gießen / Germany,de
