id,screen_name,name,followers_count,friends_count,statuses_count,favourites_count,location,lang
2828250164,maximikon,Maximiliane Okonnek,181,392,102,296,,de
26476281,NielsBr,Niels Brügger,1669,1687,782,864,"Aarhus, Denmark",en
1053698824890474498,Hum947,Grupo HUM-947,83,761,44,343,"Córdoba, España",en
267198756,ankrjoe,Jan Kröger,816,1644,5342,2723,Germany,de
561114198,ClausWolf,Claus Wolf,66,120,149,15,"Otzberg, Hessen",de
887562902961610753,fd_mentor,FDMentor,209,123,80,59,"Berlin, Deutschland",de
2742905212,SebastianHerwig,Sebastian Herwig,8,105,14,26,,de
3367010300,nissezimmermann,Nils E R Zimmermann,120,110,1510,962,"Hamburg, Germany",en
274018772,Witzgall_T,Thomas Witzgall,98,315,381,965,Jena,de
871277447148437505,Tr1l_Lian,IndianaJane,24,110,120,385,Deutschland,de
32338228,MarshallJulius,Marshall Julius🎄,103358,95882,8523,53679,"London, England",en
859676523414118403,oerworldmap_de,OER World Map DE,431,416,622,808,"Köln, Deutschland",de
4805558561,adeppe_UB,Arvid Deppe,150,166,208,529,KS,de
114424411,mattistoehr,Matti Stöhr,318,147,904,627,"Dresden, Sachsen",de
1292840658,threimer,Thomas Reimer,113,259,630,1426,Berlin,de
972573234750205952,seedvalidity,SEED: collaborative research & decentralization,238,445,128,236,Davos,en-gb
1379582035,SenkFels,SenkFels,5,206,0,23,,de
4218955305,DiniAgFis,DINI AG FIS,174,19,201,102,Deutschland,de
512388879,friedelitis,Christian Friedrich,1429,1615,4973,6400,Hamburg & Berlin,en
104137559,HAW_Hamburg,HAW Hamburg,3736,2460,5488,1119,Hamburg,de
831564825914400768,swagunke,Swagunke,157,341,329,1371,,de
265419957,anja_nix,anja knoll,40,55,31,68,hamburg,de
192337647,eeohalloran,Erin Tripp,418,564,715,358,"Moncton, New Brunswick",en
950847647828598784,Sunrise68237340,Sunrise,0,2028,0,732,,en
354177805,RTiwari_HH,Rajnish Tiwari,353,341,981,561,Hamburg,de
2742609357,henkel_maria,Maria Henkel,249,463,332,1259,"Düsseldorf, Germany",de
1042372540239241216,blockchainsteps,#steps18,168,1110,101,58,"Berlin, Germany",en
1042029890558734337,LesGrossman16,Les Grossman,2,15,5,11,planet earth,en
144173189,susannamornati,Susanna Mornati,82,72,1182,84,Italy,it
465317483,schleichmicheI,Schleichmichel,32,576,5,0,,en
346616012,smeschmesch,Stefan Mesch,4575,4930,17566,15649,"Heidelberg, Hildesheim (Kreatives Schreiben), Toronto. seit 2014 meist Berlin.",en
28536424,JulikaMimkes,Julika Mimkes,165,360,743,2591,,de
173545831,HariBrull,Haridian Montañez,125,442,705,486,Leuven,es
86292908,FrontiersIn,Frontiers,22211,17106,11373,8278,"Lausanne, Switzerland",en
264095387,KMenencke,Katrin Menencke,10,76,32,53,,de
1031055356888145920,pubreform,Publishing Reform Forum,989,4975,625,1076,,en
78318354,flohnsen,Flo,84,126,103,602,"Hamburg, Germany",en
3130969245,cmplxtv_studies,Tobias Steiner,396,781,1268,2500,Hamburg,en
833324234411802631,leseDagmar,Dagmar Schnittker,203,484,679,2768,"Ibbenbüren, Deutschland",de
45788652,mittagstisch_hh,mittagstisch,14,25,45,8,,de
1010562452688441349,Patrick85234999,Patrick,187,1726,5,0,"New York, USA",en
2268682651,reitz_f,Florian Reitz,86,245,651,448,"Trier, Germany",en
893190636823871488,DealFires,Deal Fires,968,1023,428,597,,en
1201178118,KurtHemingway,Kurt Hemingway,1,279,0,0,,de
99730267,appwerft,Ovo-Lacto-Ektothermo-Vegetarier [Olev✲],218,317,4043,997,Hamburg  – St. Pauli,en
437591452,irynakuchma,Iryna Kuchma,5324,5827,9122,9546,,en
249065273,scinoptica,Ulrich Herb,957,538,2529,389,"Saarbrücken, Deutschland",de
247521457,barb_rivera,Bárbara Rivera López,1696,4201,14544,5127,"Santiago, Chile",es
1007600831208873985,eberle_magda,Magda Eberle,28,193,12,98,,de
4351045757,BlasettiAle,Alessandro Blasetti,159,368,399,952,"Berlin, Deutschland",de
1006231487694372864,mo42B5,MoB,61,94,143,254,,de
1080733250,MichaelEssbach,Michael Essbach,20,362,32,220,,de
2403370896,KnowledgeArc,KnowledgeArc,300,2551,351,71,"Brighton, England",en
996314194583740416,MaryMary_9,Mary,1823,279,145,8,United States,en
16088889,carenes,Cécile Arènes,3616,4310,231,156,Paris,fr
4416388012,sourish_rygbee,Sourish Dasgupta,141,345,263,162,"Gandhinagar, India",en
989189634637824001,brianmattcarl11,brianmattcarl,451,4895,14,2,,en
132806509,univerlag,Univerlag Göttingen,269,121,259,168,Göttingen,de
852781536,mikaellaakso,Mikael Laakso,697,1070,362,1609,"Helsinki, Finland",en
839099291780136960,rannugnahdt,Rannug Nahdt,16,85,25,93,,de
2558501108,ChristinaLenz_,Christina Lenz,415,1003,615,1457,,sv
986167689583517696,ACPohnke,Andreas Pohnke,14,55,7,183,"Hamburg, Deutschland",de
706158140715376640,tatiana_walther,Tatiana Walther,133,238,94,254,,de
3216458033,m_gda_,Magdalena Eberle,26,153,16,67,"Hamburg, Deutschland",de
2995748908,GiBu001,Apfelkuchen,0,97,2,13,,de
255911932,andreaswalker,Andreas Walker,483,1798,2410,748,,de
18815747,schopfel,Joachim Schöpfel,2137,1800,11175,261,"Lille, France",en
827016911397335041,4ScienceIT,4Science Italy,140,105,339,212,,it
190261638,tullney,Marco Tullney,690,850,3574,1996,Berlin & Hannover,de
4864594415,Lehmbein,Leif Klemstein,10,66,12,18,,de
3354846525,StrathclydeOA,StrathclydeOA,866,764,10974,2441,"Glasgow, Scotland",en
975871690851921921,Tekrim85,Philippe Tagge,0,37,0,0,,de
2240913758,JonesHilaryJ,HilaryJJones,589,1856,206,179,"Manchester, England",en-gb
634409552,IRUSNEWS,IRUSNEWS,613,554,699,78,Manchester,en
970596409975156737,fdmhildesheim,FDM Hildesheim,431,699,7330,6225,"Hildesheim, Germany",en
138140100,WormSil,Silvia Worm,95,343,116,417,"Hamburg, Deutschland",de
1097837820,SchJulzian,Julian Schulz,435,553,1349,2542,LMU München (ITG / HGW),de
953343474354524165,Was_ist_OER,www.was-ist-oer.de,318,165,92,39,"Hamburg, Deutschland",de
962652543150116865,jewo167,Jens,1,6,0,1,,de
958046625376514048,lamba_manika,Manika Lamba,167,1026,62,99,"Delhi, India",en
942459317449580553,bobcatsss2019,BOBCATSSS 2019,512,4989,41,42,Kroatië,nl
88621648,StBNeuss,Stadtbibliothek NE,1043,1084,3912,14671,Neuss,de
961165429552140288,hh_OpenScience,Hamburg Open Science,129,57,45,20,"Hamburg, Deutschland",de
25976071,bckaemper,Basso Continuo,1708,2509,105147,29006,"Stuttgart, Germany",de
3313660000,IG_WBS,IG WBS,311,383,2876,139,,de
329246702,dhgermany,Digital Hum@nities,4376,4478,9198,6476,Germany,en
953692857424019458,ausdemrheinland,Nicole,38,134,211,849,,de
2526751470,gabioshka,Gabriela Mejias,261,267,1378,1103,Berlin,en
2842499092,PTavner,Paul Tavner,442,859,2403,2691,"London, England",en
4825515958,RebreJot,pjotrebre,27,452,24,4,,de
842081812629336068,PaywallWatch,Paywall Watch,230,219,87,31,United Kingdom,en
1617368510,stimmeheize,Steffen Heizereder,1210,2087,2409,653,,de
942136539991199744,bibliothekswand,bibliothekswandelungen,76,1058,994,8926,,de
912921106272669697,mv01gt,Michaela Voigt,348,331,682,2157,"Berlin, Deutschland",de
1246397209,Science_Open,ScienceOpen,12886,4927,30971,12447,"Berlin, Boston, Budapest",en
35709235,jochenklar,Jochen Klar,244,658,1123,420,"Berlin, Germany",de
918484241972957186,FoDaKo_NRW,FoDaKo NRW,115,140,71,48,Nordrhein-Westfalen,de
4490227996,rhodijn,Roger Zollinger,131,551,192,424,"Winterthur, Zürich",de
843591000,zlb_digital,Digitale Landesbibliothek Berlin | ZLB,880,732,1631,1315,"Berlin, Germany",de
